"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"ZQ7EUCPL","journalArticle","2017","Danner, A.G.; Safeeq, M.; Grant, G.E.; Wickham, C.; Tullos, D.; Santelmann, M.V.","Scenario-Based and Scenario-Neutral Assessment of Climate Change Impacts on Operational Performance of a Multipurpose Reservoir","Journal of the American Water Resources Association","","1093474X","10.1111/1752-1688.12589","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035750528&doi=10.1111%2f1752-1688.12589&partnerID=40&md5=bf5eef51dac948ff0f3ae4973c2ada73","Scenario-based and scenario-neutral impacts assessment approaches provide complementary information about how climate change-driven effects on streamflow may change the operational performance of multipurpose dams. Examining a case study of Cougar Dam in Oregon, United States, we simulated current reservoir operations under scenarios of plausible future hydrology. Streamflow projections from the CGCM3.1 general circulation model for the A1B emission scenario were used to generate stochastic reservoir inflows that were then further perturbed to simulate a potentially drier future. These were then used to drive a simple reservoir model. In the scenario-based analysis, we found reservoir operations are vulnerable to climate change. Increases in fall and winter inflow could lead to more frequent flood storage, reducing flexibility to store incoming flood flows. Uncertainty in spring inflow volume complicates projection of future filling performance. The reservoir may fill more or less often, depending on whether springs are wetter or drier. In the summer, drawdown may occur earlier to meet conservation objectives. From the scenario-neutral analysis, we identified thresholds of streamflow magnitude that can predict climate change impacts for a wide range of scenarios. Our results highlight projected operational challenges for Cougar Dam and provide an example of how scenario-based and scenario-neutral approaches may be applied concurrently to assess climate change impacts. © 2017 American Water Resources Association","2017","2018-01-19 22:46:05","2018-01-19 22:46:05","","1467-1482","","6","53","","","","","","","","","","English","","","","","","","","","","","Climate change; Dams; United States; Water resources; Water resources management; performance assessment; reservoir; streamflow; water management; Floods; Climate models; water resource; scenario analysis; uncertainty analysis; Stochastic models; Stochastic systems; river basin; Water levels; environmental impact assessment; stochasticity; Oregon; Reservoirs (water); River basins; Stream flow; inflow; general circulation model; General circulation model; Climate variability/change; dam; Impacts assessment; Multipurpose reservoirs; Operational performance; Scenario-based analysis; Willamette Basin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VSZIAU6D","journalArticle","2017","Panagopoulos, Y.; Gassman, P.W.; Kling, C.L.; Cibin, R.; Chaubey, I.","Water Quality Assessment of Large-scale Bioenergy Cropping Scenarios for the Upper Mississippi and Ohio-Tennessee River Basins","Journal of the American Water Resources Association","","1093474X","10.1111/1752-1688.12594","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033725630&doi=10.1111%2f1752-1688.12594&partnerID=40&md5=52d8b2781cb2539eeede03933f0d0174","The Upper Mississippi River Basin and Ohio-Tennessee River Basin comprise the majority of the United States Corn Belt region, resulting in degraded Mississippi River and Gulf of Mexico water quality. To address the water quality implications of increased biofuel production, biofuel scenarios were tested with a Soil and Water Assessment Tool (SWAT) model revision featuring improved biofuel crop representation. Scenarios included corn stover removal and the inclusion of two perennial bioenergy crops, switchgrass and Miscanthus, grown on marginal lands (slopes >2% and erosion rates >2 t/ha) and nonmarginal lands. The SWAT model estimates show water quality is not very sensitive to stover removal. The perennial bioenergy crops reduce simulated sediment, nitrogen (N), and phosphorus (P) yields by up to 60%. Simulated sediment and P reductions in marginal lands were generally twice that occurring in the nonmarginal lands. The highest unit area reductions of N occurred in the less sloping tile-drained lands. Productivity showed corn grain yield was independent from stover removal, while yields of the two perennial bioenergy crops were similar in the marginal and nonmarginal lands. The results suggest planning for biofuel production in the Corn Belt could include the removal of stover in productive corn areas, and the planting of perennial bioenergy crops in marginal land and in low-sloped tile-drained areas characterized by high N pollution. Editor's note: This paper is part of the featured series on SWAT Applications for Emerging Hydrologic and Water Quality Challenges. See the February 2017 issue for the introduction and background to the series. © 2017 American Water Resources Association","2017","2018-01-19 22:46:05","2018-01-19 22:46:05","","1355-1367","","6","53","","","","","","","","","","English","","","","","","","","","","","Atlantic Ocean; United States; Water quality; Water resources; water quality; Rivers; soil and water assessment tool; SWAT; Crops; Watersheds; nitrogen; Soil and water assessment tool; scenario analysis; assessment method; Scenario analysis; Zea mays; River pollution; phosphorus; biofuel; Biofuels; Miscanthus; Mississippi River; Panicum virgatum; Water quality assessments; Tennessee Basin; Bioenergy crops; Biofuel production; Corn Belt; Corn stover; crop residue; degradation; energy crop; Gulf of Mexico; marginal basin; Ohio Basin; perennial plant; Quality challenges","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RBJ3AGL7","journalArticle","2017","Hanson, L.; Habicht, S.; Daggupati, P.; Srinivasan, R.; Faeth, P.","Modeling Changes to Streamflow, Sediment, and Nutrient Loading from Land Use Changes Due to Potential Natural Gas Development","Journal of the American Water Resources Association","","1093474X","10.1111/1752-1688.12588","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035773961&doi=10.1111%2f1752-1688.12588&partnerID=40&md5=284087e1a6764c7dba3203b07e61cab5","Natural gas development using hydraulic fracturing has many potential environmental impacts, but among the most certain is the land disturbance required to build the well pads and other infrastructure required to drill and extract the gas. We used the Soil and Water Assessment Tool (SWAT) model to investigate how natural gas development could impact streamflow and sediment, total nitrogen (TN), and total phosphorous (TP) loadings in the upper Delaware River Basin (DRB), a relatively undeveloped watershed of 7,950 km2 that lies above the Marcellus Shale formation. If gas development was permitted, our projections show the DRB could experience development of over 600 well pads to extract natural gas at build out, which, with supporting infrastructure (roads, gathering pipelines), could convert over 5,000 ha from existing land uses in the study area. In subbasins with development activity we found sediment, TN, and TP yields could increase by an average of 15, 0.08, and 0.03 kg/ha/yr, respectively (an increase of 2, 3, and 15%, respectively) for each one percent of subbasin land area converted into natural gas infrastructure. At the study area outlet on the Delaware River at Port Jervis, New York, we found increases in the annual average streamflow and sediment, nitrogen, and phosphorus loads of up to 0.01, 0.2, 0.2, and 1%, respectively, for a rapid development year, and 0.08, 1.3, 2.0, and 11%, respectively, for the full development scenario. Editor's note: This paper is part of the featured series on SWAT Applications for Emerging Hydrologic and Water Quality Challenges. See the February 2017 issue for the introduction and background to the series. © 2017 American Water Resources Association","2017","2018-01-19 22:46:06","2018-01-19 22:46:06","","1293-1312","","6","53","","","","","","","","","","English","","","","","","","","","","","Runoff; United States; Water quality; Water resources; hydrology; streamflow; surface water; land cover; Models; water quality; Rivers; Sediments; Land use; runoff; watershed; Environmental impact; soil and water assessment tool; SWAT; Watersheds; Nitrogen; Soil and water assessment tool; Erosion; Surface waters; land use change; Nutrients; Stream flow; Delaware river; Phosphorus; Delaware River; Development scenarios; Gas industry; Gases; hydraulic fracturing; Hydraulic fracturing; Land use/land cover change; natural gas; Natural gas; Natural gas development; Natural gas infrastructure; New York [United States]; nutrient; Surface water hydrology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7MFQM2A5","journalArticle","2017","Sanderson, M.R.; Curtis, A.L.","Are Irrigators Different from Dryland Operators? Insights from a Comparative Study in Australia","Journal of the American Water Resources Association","","1093474X","10.1111/1752-1688.12584","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035760591&doi=10.1111%2f1752-1688.12584&partnerID=40&md5=90b5f2857d078852dcff5e50f8975c43","Social researchers tasked with advising practitioners on effective stakeholder engagement often develop typologies that distinguish operators on key attributes. We build on emerging research exploring the efficacy of occupational identity by investigating a potentially important difference among rural landholders that, to our knowledge, remains untested: irrigated operations and dryland operations. Using primary data collected from a large sample of operators in the North Central region of Victoria, Australia, we compared irrigators with dryland operators across a range of characteristics, controlling for the influence of occupational identity. We find evidence that irrigators tend to hold a stronger business orientation toward their properties and that dryland operators tend to hold stronger environmental concerns. But, it is important not to overdraw contrasts on business-environment tradeoffs. Both place value on financial aspects of their properties and both hold environmental concerns. But, the especially close coupling of life and work among irrigators encourage a stronger orientation toward farming, and the natural resource base, as a means of sustaining livelihoods. We discuss the implications of the findings for future research and for stakeholder engagement efforts. © 2017 American Water Resources Association","2017","2018-01-19 22:46:06","2018-01-19 22:46:06","","1453-1466","","6","53","","","","","","","","","","English","","","","","","","","","","","Australia; Water resources; Victoria; trade-off; Victoria [Australia]; comparative study; stakeholder; Water; environmental issue; Irrigation; irrigation system; Stakeholder engagement; Business environments; Comparative studies; Dryland; Environmental concerns; Financial aspects; land type; natural resource; Technology; trade-environment relations","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NMRU3AYY","journalArticle","2017","Dudley, R.W.; Hodgkins, G.A.; Dickinson, J.E.","Forecasting the Probability of Future Groundwater Levels Declining Below Specified Low Thresholds in the Conterminous U.S.","Journal of the American Water Resources Association","","1093474X","10.1111/1752-1688.12582","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035759845&doi=10.1111%2f1752-1688.12582&partnerID=40&md5=4fb803e7f7ba5418d8ea79d0b8afbd11","We present a logistic regression approach for forecasting the probability of future groundwater levels declining or maintaining below specific groundwater-level thresholds. We tested our approach on 102 groundwater wells in different climatic regions and aquifers of the United States that are part of the U.S. Geological Survey Groundwater Climate Response Network. We evaluated the importance of current groundwater levels, precipitation, streamflow, seasonal variability, Palmer Drought Severity Index, and atmosphere/ocean indices for developing the logistic regression equations. Several diagnostics of model fit were used to evaluate the regression equations, including testing of autocorrelation of residuals, goodness-of-fit metrics, and bootstrap validation testing. The probabilistic predictions were most successful at wells with high persistence (low month-to-month variability) in their groundwater records and at wells where the groundwater level remained below the defined low threshold for sustained periods (generally three months or longer). The model fit was weakest at wells with strong seasonal variability in levels and with shorter duration low-threshold events. We identified challenges in deriving probabilistic-forecasting models and possible approaches for addressing those challenges. © 2017 American Water Resources Association","2017","2018-01-19 22:46:08","2018-01-19 22:46:08","","1424-1436","","6","53","","","","","","","","","","English","","","","","","","","","","","Regression analysis; Statistics; Time series; Time series analysis; United States; Water management; groundwater; hydrology; streamflow; time series analysis; Hydrogeology; water management; Forecasting; Aquifers; Groundwater; Groundwater management; Groundwater resources; seasonal variation; geostatistics; water level; autocorrelation; Seasonal variability; atmosphere-ocean system; climatic region; geological survey; Ground-water hydrology; Logistic regression equations; Palmer drought severity indices; Probabilistic forecasting; Probabilistic prediction; U.s. geological surveys; Wells","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DPG9RC5X","journalArticle","2017","Merwade, V.; Baffaut, C.; Bieger, K.; Boithias, L.; Rathjens, H.","Featured Series Conclusion: SWAT Applications for Emerging Hydrologic and Water Quality Challenges","Journal of the American Water Resources Association","","1093474X","10.1111/1752-1688.12601","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035788380&doi=10.1111%2f1752-1688.12601&partnerID=40&md5=40dd0ebffe70ccaac42a69e3ca63f766","","2017","2018-01-19 22:46:10","2018-01-19 22:46:10","","1390-1392","","6","53","","","","","","","","","","English","","","","","","","","","","","sensitivity analysis; water quality; hydrological modeling; soil and water assessment tool; calibration; model validation; water budget","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4UBW9WJ9","journalArticle","2017","Zhou, H.; Wu, J.; Geng, G.; Li, X.; Wang, Q.; Lei, T.; Mo, X.; Liu, L.","Enhancing the Ability of a Soil Moisture-based Index for Agricultural Drought Monitoring by Incorporating Root Distribution","Journal of the American Water Resources Association","","1093474X","10.1111/1752-1688.12573","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029438450&doi=10.1111%2f1752-1688.12573&partnerID=40&md5=495ab80a90a0cd5e145acfe42ee9bb35","Agricultural drought differs from meteorological, hydrological, and socioeconomic drought, being closely related to soil water availability in the root zone, specifically for crop and crop growth stage. In previous studies, several soil moisture indices (e.g., the soil moisture index, soil water deficit index) based on soil water availability have been developed for agricultural drought monitoring. However, when developing these indices, it was generally assumed that soil water availability to crops was equal throughout the root zone, and the effects of root distribution and crop growth stage on soil water uptake were ignored. This article aims to incorporate root distribution into a soil moisture-based index and to evaluate the performance of the improved soil moisture index for agricultural drought monitoring. The Huang-Huai-Hai Plain of China was used as the study area. Overall, soil moisture indices were significantly correlated with the crop moisture index (CMI), and the improved root-weighted soil moisture index (RSMI) was more closely related to the CMI than averaged soil moisture indices. The RSMI correctly identified most of the observed drought events and performed well in the detection of drought levels. Furthermore, the RSMI had a better performance than averaged soil moisture indices when compared to crop yield. In conclusion, soil moisture indices could improve agricultural drought monitoring by incorporating root distribution. © 2017 American Water Resources Association","2017","2018-01-19 22:46:12","2018-01-19 22:46:12","","1409-1423","","6","53","","","","","","","","","","English","","","","","","","","","","","China; drought; performance assessment; soil moisture; Drought; Agriculture; Crops; Forestry; crop yield; irrigation system; Soil moisture; soil water; Soils; Plants (botany); Crop growth model; growth modeling; Monitoring; monitoring; Water use; Moisture; water uptake; Agricultural drought; rhizosphere; Moisture index; North China Plain; Root distribution; Soil moisture index; Soil water availability; Soil water deficit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5QNLBV58","journalArticle","2017","Ikenberry, C.D.; Crumpton, W.G.; Arnold, J.G.; Soupir, M.L.; Gassman, P.W.","Evaluation of Existing and Modified Wetland Equations in the SWAT Model","Journal of the American Water Resources Association","","1093474X","10.1111/1752-1688.12570","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030115381&doi=10.1111%2f1752-1688.12570&partnerID=40&md5=33793491c6a821403a17c7a24d0e54b6","The ability to accurately simulate flow and nutrient removal in treatment wetlands within an agricultural, watershed-scale model is needed to develop effective plans for meeting nutrient reduction goals associated with protection of drinking water supplies and reduction of the Gulf of Mexico hypoxic zone. The objectives of this study were to incorporate new equations for wetland hydrology and nutrient removal in Soil and Water Assessment Tool (SWAT), compare model performance using original and improved equations, and evaluate the ramifications of errors in watershed and tile drain simulation on prediction of NO3-N dynamics in wetlands. The modified equations produced Nash-Sutcliffe Efficiency values of 0.88 to 0.99 for daily NO3-N load predictions, and percent bias values generally less than 6%. However, statistical improvement over the original equations was marginal and both old and new equations provided accurate simulations. The new equations reduce the model's dependence on detailed monitoring data and hydrologic calibration. Additionally, the modified equations increase SWAT's versatility by incorporating a weir equation and an irreducible nutrient concentration and temperature coefficient. Model improvements enhance the utility of SWAT for simulating flow and nutrients in wetlands and other impoundments, although performance is limited by the accuracy of inflow and NO3-N predictions from the contributing watershed. Editor's note: This paper is part of the featured series on SWAT Applications for Emerging Hydrologic and Water Quality Challenges. See the February 2017 issue for the introduction and background to the series. © 2017 American Water Resources Association","2017","2018-01-19 22:46:14","2018-01-19 22:46:14","","1267-1280","","6","53","","","","","","","","","","English","","","","","","","","","","","Atlantic Ocean; Water quality; performance assessment; water quality; parameterization; Forecasting; nitrate; watershed; soil and water assessment tool; SWAT; Potable water; Cultivation; calibration; Watersheds; nitrogen; Soil and water assessment tool; Water supply; Hydrology; Surface waters; Watershed scale modeling; Nutrients; inflow; Wetlands; wetland; Gulf of Mexico; Nitrate nitrogen; Nutrient concentrations; nutrient enrichment; Nutrient reduction; Temperature coefficient; tile drain; Tile drainage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2KGFWG2W","journalArticle","2017","Pyo, J.; Baek, S.-S.; Kim, M.; Park, S.; Lee, H.; Ra, J.-S.; Cho, K.H.","Optimizing Agricultural Best Management Practices in a Lake Erie Watershed","Journal of the American Water Resources Association","","1093474X","10.1111/1752-1688.12571","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029499851&doi=10.1111%2f1752-1688.12571&partnerID=40&md5=ac344273b5aadea5b1eeff7a917dc8f0","Implementing agricultural best management practices (BMPs) is influenced by a balance of desired environmental outcomes, economic feasibility, and stakeholder familiarity, the latter taken to be related to BMP acceptability. To explore this balance, we developed a multi-objective decision support system for allocating BMP type and placement by coupling the Soil and Water Assessment Tool with a nondominated sorted genetic algorithm that minimizes total phosphorus (TP) yields from agricultural hydrologic response units (HRUs) and costs, while using stakeholder BMP familiarity as a constraint; conventional tillage, no tillage, nutrient management, riparian buffers, and contour cropping were explored. Using constraints representing current conditions, the optimization resulted in 59.6 to 81.0% reduction in agricultural TP yield from HRUs at costs ranging between US $0.8 and US $5.3 million. The constrained optimization tended to select mostly single BMPs or at most two BMPs for a given HRU due to these BMPs having higher acceptability to stakeholders. In contrast, the unconstrained case, representing full familiarity, selected 2- and 3-BMP applications. There was little difference in costs between the constrained and unconstrained cases below an 80% TP yield reduction; however, significant differences were found at larger reductions, supporting the value of stakeholder education and extension efforts. Editor's note: This paper is part of the featured series on SWAT Applications for Emerging Hydrologic and Water Quality Challenges. See the February 2017 issue for the introduction and background to the series. © 2017 American Water Resources Association","2017","2018-01-19 22:46:16","2018-01-19 22:46:16","","1281-1292","","6","53","","","","","","","","","","English","","","","","","","","","","","Water quality; optimization; genetic algorithm; decision support system; Decision support systems; Agriculture; watershed; Artificial intelligence; stakeholder; soil and water assessment tool; Soil and Water assessment tools; Genetic algorithms; Great Lakes [North America]; Lakes; hydrological response; Costs; best management practice; Best management practices; Phosphorus; feasibility study; Agricultural machinery; Agricultural nonpoint sources; Constrained optimization; Cost reduction; Lake Erie; nonpoint source pollution; Stakeholder familiarity; Total phosphorus; zero tillage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YIUPIRD7","journalArticle","2017","Samadi, S.; Tufford, D.L.; Carbone, G.J.","Assessing Parameter Uncertainty of a Semi-Distributed Hydrology Model for a Shallow Aquifer Dominated Environmental System","Journal of the American Water Resources Association","","1093474X","10.1111/1752-1688.12596","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032958309&doi=10.1111%2f1752-1688.12596&partnerID=40&md5=24dc747b64a19940ac500f771322fc05","This paper examines the performance of a semi-distributed hydrology model (i.e., Soil and Water Assessment Tool [SWAT]) using Sequential Uncertainty FItting (SUFI-2), generalized likelihood uncertainty estimation (GLUE), parameter solution (ParaSol), and particle swarm optimization (PSO). We applied SWAT to the Waccamaw watershed, a shallow aquifer dominated Coastal Plain watershed in the Southeastern United States (U.S.). The model was calibrated (2003-2005) and validated (2006-2007) at two U.S. Geological Survey gaging stations, using significant parameters related to surface hydrology, hydrogeology, hydraulics, and physical properties. SWAT performed best during intervals with wet and normal antecedent conditions with varying sensitivity to effluent channel shape and characteristics. In addition, the calibration of all algorithms depended mostly on Manning's n-value for the tributary channels as the surface friction resistance factor to generate runoff. SUFI-2 and PSO simulated the same relative probability distribution tails to those observed at an upstream outlet, while all methods (except ParaSol) exhibited longer tails at a downstream outlet. The ParaSol model exhibited large skewness suggesting a global search algorithm was less capable of characterizing parameter uncertainty. Our findings provide insights regarding parameter sensitivity and uncertainty as well as modeling diagnostic analysis that can improve hydrologic theory and prediction in complex watersheds. Editor's note: This paper is part of the featured series on SWAT Applications for Emerging Hydrologic and Water Quality Challenges. See the February 2017 issue for the introduction and background to the series. © 2017 American Water Resources Association","2017","2018-01-19 22:46:18","2018-01-19 22:46:18","","1368-1389","","6","53","","","","","","","","","","English","","","","","","","","","","","Calibration; United States; Water quality; algorithm; hydrology; modeling; optimization; performance assessment; Hydrogeology; Uncertainty analysis; Optimization; Rivers; hydrogeology; Parameter estimation; Aquifers; Groundwater; watershed; soil and water assessment tool; SWAT; calibration; Watersheds; Soil and Water assessment tools; uncertainty analysis; Probability distributions; Hydrology; Shallow aquifers; Generalized likelihood uncertainty estimation; Arctic Coastal Plain; Coastal plain watersheds; Effluents; Gaging; Model diagnostics; Parameter uncertainty; Particle swarm optimization (PSO); Sequential uncertainty fittings; skewness","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
