"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"UNTR28V6","journalArticle","2017","Lu, H.; Ren, L.; Chen, Y.; Tian, P.; Liu, J.","A cloud model based multi-attribute decision making approach for selection and evaluation of groundwater management schemes","Journal of Hydrology","","00221694","10.1016/j.jhydrol.2017.10.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032958374&doi=10.1016%2fj.jhydrol.2017.10.009&partnerID=40&md5=94ae90e3b94d0276d1fffd57927615eb","Due to the uncertainty (i.e., fuzziness, stochasticity and imprecision) existed simultaneously during the process for groundwater remediation, the accuracy of ranking results obtained by the traditional methods has been limited. This paper proposes a cloud model based multi-attribute decision making framework (CM-MADM) with Monte Carlo for the contaminated-groundwater remediation strategies selection. The cloud model is used to handle imprecise numerical quantities, which can describe the fuzziness and stochasticity of the information fully and precisely. In the proposed approach, the contaminated concentrations are aggregated via the backward cloud generator and the weights of attributes are calculated by employing the weight cloud module. A case study on the remedial alternative selection for a contaminated site suffering from a 1,1,1-trichloroethylene leakage problem in Shanghai, China is conducted to illustrate the efficiency and applicability of the developed approach. Totally, an attribute system which consists of ten attributes were used for evaluating each alternative through the developed method under uncertainty, including daily total pumping rate, total cost and cloud model based health risk. Results indicated that A14 was evaluated to be the most preferred alternative for the 5-year, A5 for the 10-year, A4 for the 15-year and A6 for the 20-year remediation. © 2017 Elsevier B.V.","2017","2018-01-19 23:05:09","2018-01-19 23:05:09","","881-893","","","555","","","","","","","","","","English","","","","","","","","","","","China; Decision making; Risk assessment; Water management; groundwater; Fuzzy set theory; water management; Health risks; Monte Carlo analysis; Pollution; concentration (composition); Groundwater; Groundwater pollution; risk assessment; Fuzzy systems; numerical model; decision making; uncertainty analysis; fuzzy mathematics; Cloud computing; stochasticity; Shanghai; health risk; Site selection; multivariate analysis; 1-dichloroethane; Alternative selections; Cloud modeling; Contaminated groundwater; ethane; Ground water remediation; Multi attribute decision making; Multi-attribute analysis; Remediation; Selection and evaluations","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NQI8ULMR","journalArticle","2017","Sasidharan, S.; Bradford, S.A.; Šimůnek, J.; Torkzaban, S.; Vanderzalm, J.","Transport and fate of viruses in sediment and stormwater from a Managed Aquifer Recharge site","Journal of Hydrology","","00221694","10.1016/j.jhydrol.2017.10.062","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032938785&doi=10.1016%2fj.jhydrol.2017.10.062&partnerID=40&md5=4b9e6abba07a6ffa7b5cbfc56925fdae","Enteric viruses are one of the major concerns in water reclamation and reuse at Managed Aquifer Recharge (MAR) sites. In this study, the transport and fate of bacteriophages MS2, PRD1, and ΦX174 were studied in sediment and stormwater (SW) collected from a MAR site in Parafield, Australia. Column experiments were conducted using SW, stormwater in equilibrium with the aquifer sediment (EQ-SW), and two pore-water velocities (1 and 5 m day−1) to encompass expected behavior at the MAR site. The aquifer sediment removed &gt;92.3% of these viruses under all of the considered MAR conditions. However, much greater virus removal (4.6 logs) occurred at the lower pore-water velocity and in EQ-SW that had a higher ionic strength and Ca2+ concentration. Virus removal was greatest for MS2, followed by PRD1, and then ΦX174 for a given physicochemical condition. The vast majority of the attached viruses were irreversibly attached or inactivated on the solid phase, and injection of Milli-Q water or beef extract at pH = 10 only mobilized a small fraction of attached viruses (&lt;0.64%). Virus breakthrough curves (BTCs) were successfully simulated using an advective–dispersive model that accounted for rates of attachment (katt), detachment (kdet), irreversible attachment or solid phase inactivation (μs), and blocking. Existing MAR guidelines only consider the removal of viruses via liquid phase inactivation (μl). However, our results indicated that katt &gt; μs &gt; kdet &gt; μl, and katt was several orders of magnitude greater than μl. Therefore, current microbial risk assessment methods in the MAR guideline may be overly conservative in some instances. Interestingly, virus BTCs exhibited blocking behavior and the calculated solid surface area that contributed to the attachment was very small. Additional research is therefore warranted to study the potential influence of blocking on virus transport and potential implications for MAR guidelines. © 2017 Elsevier B.V.","2017","2018-01-19 23:05:10","2018-01-19 23:05:10","","724-735","","","555","","","","","","","","","","English","","","","","","","","","","","Australia; Risk assessment; Sediments; aquifer; Aquifers; risk assessment; Water; environmental fate; Water conservation; Storms; pollutant removal; guideline; recharge; stormwater; South Australia; calcium; Wastewater reclamation; Calcium; Recharging (underground waters); Managed aquifer recharges; Orders of magnitude; Stormwaters; mobilization; sediment; advection-diffusion equation; transport process; breakthrough curve; Water injection; bacteriophage; Bacteriophages; Ionic strength; Microbial risk assessment; Parafield; Physicochemical conditions; porewater; Reclamation and reuse; Solid-phase; Transport; Viruses","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PXFHNS2G","journalArticle","2017","Konapala, G.; Mishra, A.","Review of complex networks application in hydroclimatic extremes with an implementation to characterize spatio-temporal drought propagation in continental USA","Journal of Hydrology","","00221694","10.1016/j.jhydrol.2017.10.033","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032658690&doi=10.1016%2fj.jhydrol.2017.10.033&partnerID=40&md5=2095ffe9b6a218e3e79e331506c682dd","The quantification of spatio-temporal hydroclimatic extreme events is a key variable in water resources planning, disaster mitigation, and preparing climate resilient society. However, quantification of these extreme events has always been a great challenge, which is further compounded by climate variability and change. Recently complex network theory was applied in earth science community to investigate spatial connections among hydrologic fluxes (e.g., rainfall and streamflow) in water cycle. However, there are limited applications of complex network theory for investigating hydroclimatic extreme events. This article attempts to provide an overview of complex networks and extreme events, event synchronization method, construction of networks, their statistical significance and the associated network evaluation metrics. For illustration purpose, we apply the complex network approach to study the spatio-temporal evolution of droughts in Continental USA (CONUS). A different drought threshold leads to a new drought event as well as different socio-economic implications. Therefore, it would be interesting to explore the role of thresholds on spatio-temporal evolution of drought through network analysis. In this study, long term (1900–2016) Palmer drought severity index (PDSI) was selected for spatio-temporal drought analysis using three network-based metrics (i.e., strength, direction and distance). The results indicate that the drought events propagate differently at different thresholds associated with initiation of drought events. The direction metrics indicated that onset of mild drought events usually propagate in a more spatially clustered and uniform approach compared to onsets of moderate droughts. The distance metric shows that the drought events propagate for longer distance in western part compared to eastern part of CONUS. We believe that the network-aided metrics utilized in this study can be an important tool in advancing our knowledge on drought propagation as well as other hydroclimatic extreme events. Although the propagation of droughts is investigated using the network approach, however process (physics) based approaches is essential to further understand the dynamics of hydroclimatic extreme events. © 2017 Elsevier B.V.","2017","2018-01-19 23:05:10","2018-01-19 23:05:10","","600-620","","","555","","","","","","","","","","English","","","","","","","","","","","Climate change; United States; Water resources; drought; hydrological cycle; streamflow; climate change; Drought; spatiotemporal analysis; network analysis; extreme event; complexity; Complex networks; quantitative analysis; Extreme events; Water resources planning; threshold; Palmer drought severity indices; Circuit theory; Climate variability and change; Disaster mitigation; Event synchronization; Spatiotemporal evolution; Statistical significance; synchrony","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32HJMXTL","journalArticle","2017","Bayer, F.M.; Bayer, D.M.; Pumi, G.","Kumaraswamy autoregressive moving average models for double bounded environmental data","Journal of Hydrology","","00221694","10.1016/j.jhydrol.2017.10.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032275124&doi=10.1016%2fj.jhydrol.2017.10.006&partnerID=40&md5=f330e43312d7172b20dd2d7e2fc44eab","In this paper we introduce the Kumaraswamy autoregressive moving average models (KARMA), which is a dynamic class of models for time series taking values in the double bounded interval (a,b) following the Kumaraswamy distribution. The Kumaraswamy family of distribution is widely applied in many areas, especially hydrology and related fields. Classical examples are time series representing rates and proportions observed over time. In the proposed KARMA model, the median is modeled by a dynamic structure containing autoregressive and moving average terms, time-varying regressors, unknown parameters and a link function. We introduce the new class of models and discuss conditional maximum likelihood estimation, hypothesis testing inference, diagnostic analysis and forecasting. In particular, we provide closed-form expressions for the conditional score vector and conditional Fisher information matrix. An application to environmental real data is presented and discussed. © 2017 Elsevier B.V.","2017","2018-01-19 23:05:11","2018-01-19 23:05:11","","385-396","","","555","","","","","","","","","","English","","","","","","","","","","","Maximum likelihood estimation; Time series; Forecasting; Dynamic models; Environmental data; Gaussian noise (electronic); Maximum likelihood; ARMA; Auto-regressive moving average model; Closed-form expression; Conditional maximum likelihoods; Diagnostic analysis; Double bounded data; Fisher information matrix; Kumaraswamy distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PA6I8I68","journalArticle","2017","Oh, Y.-Y.; Yun, S.-T.; Yu, S.; Hamm, S.-Y.","The combined use of dynamic factor analysis and wavelet analysis to evaluate latent factors controlling complex groundwater level fluctuations in a riverside alluvial aquifer","Journal of Hydrology","","00221694","10.1016/j.jhydrol.2017.10.070","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032933447&doi=10.1016%2fj.jhydrol.2017.10.070&partnerID=40&md5=1433f02c0bcc2e4283f5c9fb34892462","To identify and quantitatively evaluate complex latent factors controlling groundwater level (GWL) fluctuations in a riverside alluvial aquifer influenced by barrage construction, we developed the combined use of dynamic factor analysis (DFA) and wavelet analysis (WA). Time series data of GWL, river water level and precipitation were collected for 3 years (July 2012 to June 2015) from an alluvial aquifer underneath an agricultural area of the Nakdong river basin, South Korea. Based on the wavelet coefficients of the final approximation, the GWL data was clustered into three groups (WCG1 to WCG3). Two dynamic factors (DFs) were then extracted using DFA for each group; thus, six major factors were extracted. Next, the time–frequency variability of the extracted DFs was examined using multiresolution cross-correlation analysis (MRCCA) with the following steps: 1) major driving forces and their scales in GWL fluctuations were identified by comparing maximum correlation coefficients (rmax) between DFs and the GWL time series and 2) the results were supplemented using the wavelet transformed coherence (WTC) analysis between DFs and the hydrological time series. Finally, relative contributions of six major DFs to the GWL fluctuations could be quantitatively assessed by calculating the effective dynamic efficiency (Def). The characteristics and relevant process of the identified six DFs are: 1) WCG1DF4,1 as an indicative of seasonal agricultural pumping (scales = 64–128 days; rmax = 0.68–0.89; Def ≤ 23.1%); 2) WCG1DF4,4 representing the cycle of regional groundwater recharge (scales = 64–128 days; rmax = 0.98–1.00; Def ≤ 11.1%); 3) WCG2DF4,1 indicating the complex interaction between the episodes of precipitation and direct runoff (scales = 2–8 days; rmax = 0.82–0.91; Def ≤ 35.3%) and seasonal GW-RW interaction (scales = 64–128 days; rmax = 0.76–0.91; Def ≤ 14.2%); 4) WCG2DF4,4 reflecting the complex effects of seasonal pervasive pumping and the local recharge cycle (scales = 64–128 days; rmax = 0.86–0.94; Def ≤ 16.4%); 5) WCG3DF4,2 as the result of temporal pumping (scales = 2–8 days; rmax = 0.98–0.99; Def ≤ 7.7%); and 6) WCG3DF4,4 indicating the local recharge cycle (scales = 64–128 days; rmax = 0.76–0.91; Def ≤ 34.2 %). This study shows that major driving forces controlling GWL time series data in a complex hydrological setting can be identified and quantitatively evaluated by the combined use of DFA and WA and applying MRCCA and WTC. © 2017 Elsevier B.V.","2017","2018-01-19 23:05:13","2018-01-19 23:05:13","","938-955","","","555","","","","","","","","","","English","","","","","","","","","","","Time series; Time series analysis; groundwater; wavelet analysis; time series analysis; South Korea; aquifer; Aquifers; Groundwater; Groundwater resources; Agriculture; seasonal variation; Water levels; Efficiency; Multivariant analysis; river water; water level; agricultural land; factor analysis; Factor analysis; Pumps; Agricultural runoff; Wavelet analysis; barrage; Based clustering; Cross correlations; Dynamic factor analysis; Effective dynamics; Groundwater level fluctuation; Nakdong Basin; Office buildings","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PW5MWEP3","journalArticle","2017","Wang, W.; Li, C.; Xing, W.; Fu, J.","Projecting the potential evapotranspiration by coupling different formulations and input data reliabilities: The possible uncertainty source for climate change impacts on hydrological regime","Journal of Hydrology","","00221694","10.1016/j.jhydrol.2017.10.023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032875069&doi=10.1016%2fj.jhydrol.2017.10.023&partnerID=40&md5=1d64ceaf6eeebd1c5b7cd118ecbe67bc","Representing atmospheric evaporating capability for a hypothetical reference surface, potential evapotranspiration (PET) determines the upper limit of actual evapotranspiration and is an important input to hydrological models. Due that present climate models do not give direct estimates of PET when simulating the hydrological response to future climate change, the PET must be estimated first and is subject to the uncertainty on account of many existing formulae and different input data reliabilities. Using four different PET estimation approaches, i.e., the more physically Penman (PN) equation with less reliable input variables, more empirical radiation-based Priestley-Taylor (PT) equation with relatively dependable downscaled data, the most simply temperature-based Hamon (HM) equation with the most reliable downscaled variable, and downscaling PET directly by the statistical downscaling model, this paper investigated the differences of runoff projection caused by the alternative PET methods by a well calibrated abcd monthly hydrological model. Three catchments, i.e., the Luanhe River Basin, the Source Region of the Yellow River and the Ganjiang River Basin, representing a large climatic diversity were chosen as examples to illustrate this issue. The results indicated that although similar monthly patterns of PET over the period 2021–2050 for each catchment were provided by the four methods, the magnitudes of PET were still slightly different, especially for spring and summer months in the Luanhe River Basin and the Source Region of the Yellow River with relatively dry climate feature. The apparent discrepancy in magnitude of change in future runoff and even the diverse change direction for summer months in the Luanhe River Basin and spring months in the Source Region of the Yellow River indicated that the PET method related uncertainty occurred, especially in the Luanhe River Basin and the Source Region of the Yellow River with smaller aridity index. Moreover, the possible reason of discrepancies in uncertainty between three catchments was quantitatively discussed by the contribution analysis based on climatic elasticity method. This study can provide beneficial reference to comprehensively understand the impacts of climate change on hydrological regime and thus improve the regional strategy for future water resource management. © 2017 Elsevier B.V.","2017","2018-01-19 23:05:15","2018-01-19 23:05:15","","298-313","","","555","","","","","","","","","","English","","","","","","","","","","","China; Climate change; Evapotranspiration; Runoff; Water management; Water resources; downscaling; potential evapotranspiration; Uncertainty; Statistical downscaling; statistical analysis; climate change; Uncertainty analysis; Rivers; hydrological modeling; Climate models; water resource; runoff; Watersheds; uncertainty analysis; Catchments; Hydrology; Hydrological modeling; hydrological response; Waterresource management; Input output programs; Actual evapotranspiration; Potential evapotranspiration; Jiangxi; hydrological regime; Transport properties; aridity; Estimation approaches; Gan Basin; Luanhe Basin; Runoff changes; Yellow River","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5XB72Q52","journalArticle","2017","Verkade, J.S.; Brown, J.D.; Davids, F.; Reggiani, P.; Weerts, A.H.; Troselj, J.; Sayama, T.; Varlamov, S.M.; Sasaki, T.; Racault, M.-F.; Takara, K.; Miyazawa, Y.; Kuroki, R.; Yamagata, T.; Yamashiki, Y.; Sun, G.; Peng, F.; Mu, M.","Uncertainty assessment and sensitivity analysis of soil moisture based on model parameter errors – Results from four regions in China","Journal of Hydrology","","00221694","10.1016/j.jhydrol.2017.09.059","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032280758&doi=10.1016%2fj.jhydrol.2017.09.059&partnerID=40&md5=437cf8a46ede3564f035f757bfd6f5a9","Model parameter errors are an important cause of uncertainty in soil moisture simulation. In this study, a conditional nonlinear optimal perturbation related to parameter (CNOP-P) approach and a sophisticated land surface model (the Common Land Model, CoLM) are employed in four regions in China to explore extent of uncertainty in soil moisture simulations due to model parameter errors. The CNOP-P approach facilitates calculation of the upper bounds of uncertainty due to parameter errors and investigation of the nonlinear effects of parameter combination on uncertainties in simulation and prediction. The range of uncertainty for simulated soil moisture was found to be from 0.04 to 0.58 m3 m−3. Based on the CNOP-P approach, a new approach is applied to explore a relatively sensitive and important parameter combination for soil moisture simulations and predictions. It is found that the relatively sensitive parameter combination is region- and season-dependent. Furthermore, the results show that simulation of soil moisture could be improved if the errors in these important parameter combinations are reduced. In four study regions, the average extent of improvement (61.6%) in simulating soil moisture using the new approach based on the CNOP-P is larger than that (53.4%) using the one-at-a-time (OAT) approach. These results indicate that simulation and prediction of soil moisture is improved by considering the nonlinear effects of important physical parameter combinations. In addition, the new approach based on the CNOP-P is found to be an effective method to discern the nonlinear effects of important physical parameter combinations on numerical simulation and prediction. © 2017 Elsevier B.V.","2017","2018-01-19 23:05:18","2018-01-19 23:05:18","","347-360","","","555","","Journal of Hydrology","","","","","","","","English","","","","","","","","","","","China; Sensitivity analysis; prediction; soil moisture; sensitivity analysis; land surface; Uncertainty assessment; seasonality; Uncertainty analysis; parameterization; Forecasting; perturbation; assessment method; uncertainty analysis; Numerical methods; Soil moisture; Soils; error analysis; Errors; Land surface modeling; Sensitive parameter; nonlinearity; Moisture; Moisture simulations; Numerical models; Surface soil moisture; CoLM; Conditional Nonlinear Optimal Perturbation; Parameter combination","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LNFP7RDV","journalArticle","2017","Ehsani, N.; Vörösmarty, C.J.; Fekete, B.M.; Stakhiv, E.Z.","Reservoir operations under climate change: Storage capacity options to mitigate risk","Journal of Hydrology","","00221694","10.1016/j.jhydrol.2017.09.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032390565&doi=10.1016%2fj.jhydrol.2017.09.008&partnerID=40&md5=7ab52deaa8cec07c52f86464b8b967a4","Observed changes in precipitation patterns, rising surface temperature, increases in frequency and intensity of floods and droughts, widespread melting of ice, and reduced snow cover are some of the documented hydrologic changes associated with global climate change. Climate change is therefore expected to affect the water supply-demand balance in the Northeast United States and challenge existing water management strategies. The hydrological implications of future climate will affect the design capacity and operating characteristics of dams. The vulnerability of water resources systems to floods and droughts will increase, and the trade-offs between reservoir releases to maintain flood control storage, drought resilience, ecological flow, human water demand, and energy production should be reconsidered. We used a Neural Networks based General Reservoir Operation Scheme to estimate the implications of climate change for dams on a regional scale. This dynamic daily reservoir module automatically adapts to changes in climate and re-adjusts the operation of dams based on water storage level, timing, and magnitude of incoming flows. Our findings suggest that the importance of dams in providing water security in the region will increase. We create an indicator of the Effective Degree of Regulation (EDR) by dams on water resources and show that it is expected to increase, particularly during drier months of year, simply as a consequence of projected climate change. The results also indicate that increasing the size and number of dams, in addition to modifying their operations, may become necessary to offset the vulnerabilities of water resources systems to future climate uncertainties. This is the case even without considering the likely increase in future water demand, especially in the most densely populated regions of the Northeast. © 2017 The Author(s)","2017","2018-01-19 23:05:21","2018-01-19 23:05:21","","435-446","","","555","","","","","","","","","","English","","","","","","","","","","","Climate change; Dams; Snow; United States; Water management; Water resources; drought; reservoir; water availability; water supply; trend analysis; climate change; water management; Drought; Floods; Flood control; vulnerability; water resource; Economic and social effects; Water supply; flood control; global climate; water storage; Reservoirs (water); demand analysis; snow cover; surface temperature; Water availability; mitigation; flow regulation; Flow regulation; melting; Northeast United States; Regional trends; Water security","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U24UBXHX","journalArticle","2017","Wu, B.; Wang, G.; Wang, Z.; Liu, C.; Ma, J.","Integrated hydrologic and hydrodynamic modeling to assess water exchange in a data-scarce reservoir","Journal of Hydrology","","00221694","10.1016/j.jhydrol.2017.09.057","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030869391&doi=10.1016%2fj.jhydrol.2017.09.057&partnerID=40&md5=46951df6af5b47185768f2ed43c43f40","Integrated hydrologic and hydrodynamic modeling is useful in evaluating hydrodynamic characteristics (e.g. water exchange processes) in data-scarce water bodies, however, most studies lack verification of the hydrologic model. Here, water exchange (represented by water age) was investigated through integrated hydrologic and hydrodynamic modeling of the Hongfeng Reservoir, a poorly gauged reservoir in southwest China. The performance of the hydrologic model and parameter replacement among sub-basins with hydrological similarity was verified by historical data. Results showed that hydrological similarity based on the hierarchical cluster analysis and topographic index probability density distribution was reliable with satisfactory performance of parameter replacement. The hydrodynamic model was verified using daily water levels and water temperatures from 2009 and 2010. The water exchange processes in the Hongfeng Reservoir are very complex with temporal, vertical, and spatial variations. The temporal water age was primarily controlled by the variable inflow and outflow, and the maximum and minimum ages for the site near the dam were 406.10 d (15th June) and 90.74 d (3rd August), respectively, in 2010. Distinct vertical differences in water age showed that surface flow, interflow, and underflow appeared alternately, depending on the season and water depth. The worst water exchange situation was found in the central areas of the North Lake with the highest water ages in the bottom on both 15th June and 3rd August, in 2010. Comparison of the spatial water ages revealed that the more favorable hydraulic conditions on 3rd August mainly improved the water exchange in the dam areas and most areas of the South Lake, but had little effect on the bottom layers of the other deepest areas in the South and North Lakes. The presented framework can be applied in other data-scarce waterbodies worldwide to provide better understanding of water exchange processes. © 2017 Elsevier B.V.","2017","2018-01-19 23:05:23","2018-01-19 23:05:23","","15-30","","","555","","","","","","","","","","English","","","","","","","","","","","China; age; reservoir; parameter estimation; hydrological modeling; integrated approach; seasonal variation; hydrodynamics; Fluid dynamics; Hydrodynamic model; Hydrodynamics; three-dimensional modeling; Probability distributions; flow measurement; Water levels; Lakes; Hierarchical systems; coupling; Reservoirs (water); Cluster analysis; Probability density function; water exchange; water depth; 3-d modeling; Guizhou; Hongfeng Reservoir; Parameter replacement; Water ages; Water exchange","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29ZCMSJ6","journalArticle","2017","Jovanovic, D.; Hathaway, J.; Coleman, R.; Deletic, A.; McCarthy, D.T.","Conceptual modelling of E. coli in urban stormwater drains, creeks and rivers","Journal of Hydrology","","00221694","10.1016/j.jhydrol.2017.10.022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031302656&doi=10.1016%2fj.jhydrol.2017.10.022&partnerID=40&md5=d887bff36d41e4697989e703dcee3727","Accurate estimation of faecal microorganism levels in water systems, such as stormwater drains, creeks and rivers, is needed for appropriate assessment of impacts on receiving water bodies and the risks to human health. The underlying hypothesis for this work is that a single conceptual model (the MicroOrganism Prediction in Urban Stormwater model – i.e. MOPUS) can adequately simulate microbial dynamics over a variety of water systems and wide range of scales; something which has not been previously tested. Additionally, the application of radar precipitation data for improvement of the model performance at these scales via more accurate areal averaged rainfall intensities was tested. Six comprehensive Escherichia coli (E. coli) datasets collected from five catchments in south-eastern Australia and one catchment in Raleigh, USA, were used to calibrate the model. The MOPUS rainfall-runoff model performed well at all scales (Nash-Sutcliffe E for instantaneous flow rates between 0.70 and 0.93). Sensitivity analysis showed that wet weather urban stormwater flows can be modelled with only three of the five rainfall runoff model parameters: routing coefficient (K), effective imperviousness (IMP) and time of concentration (TOC). The model's performance for representing instantaneous E. coli fluctuations ranged from 0.17 to 0.45 in catchments drained via pipe or open creek, and was the highest for a large riverine catchment (0.64); performing similarly, if not better, than other microbial models in literature. The model could also capture the variability in event mean concentrations (E = 0.17–0.57) and event loads (E = 0.32–0.97) at all scales. Application of weather radar-derived rainfall inputs caused lower overall performance compared to using gauged rainfall inputs in representing both flow and E. coli levels in urban drain catchments, with the performance improving with increasing catchment size and being comparable to the models that use gauged rainfall inputs at the large riverine catchment. These results demonstrate the potential of the MOPUS model and its ability to be applied to a wide range of catchment scales, including large riverine systems. © 2017","2017","2018-01-19 23:05:25","2018-01-19 23:05:25","","129-140","","","555","","","","","","","","","","English","","","","","","","","","","","Australia; Rain; Risk assessment; Runoff; Sensitivity analysis; United States; Water quality; catchment; rainfall-runoff modeling; Models; water quality; Health risks; Risk perception; hydrological modeling; numerical model; assessment method; Catchments; urban area; Precipitation (meteorology); Storms; river water; Pathogens; Rainfall-runoff modeling; environmental impact assessment; estimation method; microbial community; pathogen; Event mean concentrations; Meteorological radar; Radar; North Carolina; Microorganisms; Waterworks; coliform bacterium; drain; E. coli; Escherichia coli; Escherichia coli (E. coli); microorganism; MOPUS; Raleigh; Receiving water bodies; South-eastern Australia; Time of concentrations","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
