"","x"
"1",7
"2",9
"3",12
"4",21
"5",22
"6",24
"7",25
"8",29
"9",30
"10",31
"11",32
"12",34
"13",39
"14",43
"15",48
"16",50
"17",59
"18",60
"19",61
"20",62
"21",70
"22",71
"23",75
"24",77
"25",80
"26",82
"27",85
"28",89
"29",91
"30",95
"31",98
"32",110
"33",111
"34",112
"35",113
"36",114
"37",118
"38",119
"39",123
"40",130
"41",142
"42",143
"43",158
"44",187
"45",188
"46",208
"47",213
"48",217
"49",226
"50",239
"51",240
"52",295
"53",355
"54",379
"55",384
"56",473
"57",500
"58",523
"59",578
"60",582
"61",618
"62",631
"63",638
"64",639
"65",649
"66",668
"67",718
"68",720
"69",735
"70",797
"71",816
"72",869
"73",872
"74",914
"75",918
"76",938
"77",960
"78",961
"79",973
"80",974
"81",1036
"82",1049
"83",1054
"84",1067
"85",1154
"86",1172
"87",1200
"88",1255
"89",1308
"90",1406
"91",1408
"92",1411
"93",1421
"94",1426
"95",1434
"96",1443
"97",1453
"98",1472
"99",1479
"100",1499
"101",1507
"102",1550
"103",1606
"104",1682
"105",1717
"106",1727
"107",1731
"108",1780
"109",1799
"110",1808
"111",1832
"112",1833
"113",1834
"114",1850
"115",1863
"116",1884
"117",1899
"118",1910
"119",1954
"120",1955
"121",1
"122",4
"123",15
"124",16
"125",26
"126",58
"127",87
"128",100
"129",141
"130",161
"131",195
"132",201
"133",204
"134",221
"135",223
"136",262
"137",266
"138",270
"139",273
"140",276
"141",277
"142",279
"143",280
"144",293
"145",324
"146",326
"147",328
"148",329
"149",336
"150",338
"151",352
"152",354
"153",364
"154",377
"155",388
"156",389
"157",390
"158",395
"159",398
"160",415
"161",434
"162",437
"163",439
"164",443
"165",449
"166",455
"167",476
"168",477
"169",481
"170",487
"171",490
"172",515
"173",533
"174",534
"175",538
"176",556
"177",558
"178",561
"179",563
"180",566
"181",573
"182",574
"183",580
"184",587
"185",588
"186",594
"187",596
"188",603
"189",606
"190",614
"191",619
"192",629
"193",641
"194",645
"195",647
"196",650
"197",651
"198",662
"199",665
"200",666
"201",688
"202",696
"203",699
"204",704
"205",709
"206",723
"207",740
"208",743
"209",750
"210",753
"211",756
"212",762
"213",767
"214",774
"215",789
"216",796
"217",813
"218",815
"219",831
"220",834
"221",836
"222",838
"223",853
"224",889
"225",891
"226",906
"227",926
"228",934
"229",937
"230",946
"231",950
"232",955
"233",996
"234",1003
"235",1008
"236",1012
"237",1015
"238",1023
"239",1024
"240",1028
"241",1038
"242",1043
"243",1050
"244",1058
"245",1068
"246",1079
"247",1081
"248",1083
"249",1090
"250",1091
"251",1095
"252",1097
"253",1112
"254",1134
"255",1139
"256",1150
"257",1152
"258",1162
"259",1184
"260",1198
"261",1204
"262",1209
"263",1217
"264",1222
"265",1226
"266",1230
"267",1239
"268",1243
"269",1245
"270",1254
"271",1276
"272",1283
"273",1284
"274",1292
"275",1294
"276",1299
"277",1314
"278",1327
"279",1329
"280",1340
"281",1342
"282",1343
"283",1345
"284",1349
"285",1352
"286",1357
"287",1366
"288",1367
"289",1369
"290",1373
"291",1374
"292",1379
"293",1392
"294",1401
"295",1402
"296",1412
"297",1425
"298",1428
"299",1439
"300",1442
"301",1446
"302",1462
"303",1496
"304",1528
"305",1530
"306",1533
"307",1543
"308",1553
"309",1554
"310",1573
"311",1576
"312",1580
"313",1589
"314",1594
"315",1596
"316",1607
"317",1608
"318",1613
"319",1620
"320",1650
"321",1665
"322",1673
"323",1678
"324",1693
"325",1701
"326",1706
"327",1708
"328",1712
"329",1728
"330",1733
"331",1740
"332",1746
"333",1754
"334",1763
"335",1782
"336",1786
"337",1792
"338",1794
"339",1798
"340",1800
"341",1817
"342",1819
"343",1829
"344",1843
"345",1860
"346",1869
"347",1872
"348",1887
"349",1897
"350",1901
"351",1902
"352",1907
"353",1928
"354",1929
"355",1951
"356",1952
"357",1953
"358",1961
"359",1968
"360",1988
