"","x"
"1",1
"2",4
"3",15
"4",16
"5",26
"6",58
"7",87
"8",100
"9",141
"10",161
"11",195
"12",201
"13",204
"14",221
"15",223
"16",262
"17",266
"18",270
"19",273
"20",276
"21",277
"22",279
"23",280
"24",293
"25",324
"26",326
"27",328
"28",329
"29",336
"30",338
"31",352
"32",354
"33",364
"34",377
"35",388
"36",389
"37",390
"38",395
"39",398
"40",415
"41",434
"42",437
"43",439
"44",443
"45",449
"46",455
"47",476
"48",477
"49",481
"50",487
"51",490
"52",515
"53",533
"54",534
"55",538
"56",556
"57",558
"58",561
"59",563
"60",566
"61",573
"62",574
"63",580
"64",587
"65",588
"66",594
"67",596
"68",603
"69",606
"70",614
"71",619
"72",629
"73",641
"74",645
"75",647
"76",650
"77",651
"78",662
"79",665
"80",666
"81",688
"82",696
"83",699
"84",704
"85",709
"86",723
"87",740
"88",743
"89",750
"90",753
"91",756
"92",762
"93",767
"94",774
"95",789
"96",796
"97",813
"98",815
"99",831
"100",834
"101",836
"102",838
"103",853
"104",889
"105",891
"106",906
"107",926
"108",934
"109",937
"110",946
"111",950
"112",955
"113",996
"114",1003
"115",1008
"116",1012
"117",1015
"118",1023
"119",1024
"120",1028
"121",1038
"122",1043
"123",1050
"124",1058
"125",1068
"126",1079
"127",1081
"128",1083
"129",1090
"130",1091
"131",1095
"132",1097
"133",1112
"134",1134
"135",1139
"136",1150
"137",1152
"138",1162
"139",1184
"140",1198
"141",1204
"142",1209
"143",1217
"144",1222
"145",1226
"146",1230
"147",1239
"148",1243
"149",1245
"150",1254
"151",1276
"152",1283
"153",1284
"154",1292
"155",1294
"156",1299
"157",1314
"158",1327
"159",1329
"160",1340
"161",1342
"162",1343
"163",1345
"164",1349
"165",1352
"166",1357
"167",1366
"168",1367
"169",1369
"170",1373
"171",1374
"172",1379
"173",1392
"174",1401
"175",1402
"176",1412
"177",1425
"178",1428
"179",1439
"180",1442
"181",1446
"182",1462
"183",1496
"184",1528
"185",1530
"186",1533
"187",1543
"188",1553
"189",1554
"190",1573
"191",1576
"192",1580
"193",1589
"194",1594
"195",1596
"196",1607
"197",1608
"198",1613
"199",1620
"200",1650
"201",1665
"202",1673
"203",1678
"204",1693
"205",1701
"206",1706
"207",1708
"208",1712
"209",1728
"210",1733
"211",1740
"212",1746
"213",1754
"214",1763
"215",1782
"216",1786
"217",1792
"218",1794
"219",1798
"220",1800
"221",1817
"222",1819
"223",1829
"224",1843
"225",1860
"226",1869
"227",1872
"228",1887
"229",1897
"230",1901
"231",1902
"232",1907
"233",1928
"234",1929
"235",1951
"236",1952
"237",1953
"238",1961
"239",1968
"240",1988
