Reviewer,index,DOI,URL,Citation,Journal
Reviewer1,1,10.1016/j.envsoft.2017.07.018,https://doi.org/10.1016/j.envsoft.2017.07.018,"Kerrou, J.; Deman, G.; Tacher, L.; Benabderrahmane, H.; Perrochet, P. (2017) Numerical and polynomial modelling to assess environmental and hydraulic impacts of the future geological radwaste repository in Meuse site (France). Environmental Modelling and Software. 97, 157-170.",Environmental Modelling and Software
Reviewer1,24,10.1016/j.envsoft.2017.02.026,https://doi.org/10.1016/j.envsoft.2017.02.026,"Mustajoki, J.; Marttunen, M. (2017) Comparison of multi-criteria decision analytical software for supporting environmental planning processes. Environmental Modelling and Software. 93, 78-91.",Environmental Modelling and Software
Reviewer1,25,10.1016/j.envsoft.2017.06.053,https://doi.org/10.1016/j.envsoft.2017.06.053,"Malard, J.J.; Inam, A.; Hassanzadeh, E.; Adamowski, J.; Tuy, H.A.; Melgar-Quiñonez, H. (2017) Development of a software tool for rapid, reproducible, and stakeholder-friendly dynamic coupling of system dynamics and physically-based models. Environmental Modelling and Software. 96, 410-420.",Environmental Modelling and Software
Reviewer1,34,10.1016/j.envsoft.2017.06.036,https://doi.org/10.1016/j.envsoft.2017.06.036,"Kneis, D.; Petzoldt, T.; Berendonk, T.U. (2017) An R-package to boost fitness and life expectancy of environmental models. Environmental Modelling and Software. 96, 123-127.",Environmental Modelling and Software
Reviewer1,58,10.1016/j.envsoft.2017.06.001,https://doi.org/10.1016/j.envsoft.2017.06.001,"Hardy, P.-Y.; Béné, C.; Doyen, L.; Mills, D. (2017) Strengthening the resilience of small-scale fisheries: A modeling approach to explore the use of in-shore pelagic resources in Melanesia. Environmental Modelling and Software. 96, 291-304.",Environmental Modelling and Software
Reviewer1,60,10.1016/j.envsoft.2017.04.003,https://doi.org/10.1016/j.envsoft.2017.04.003,"Belete, G.F.; Voinov, A.; Morales, J. (2017) Designing the Distributed Model Integration Framework – DMIF. Environmental Modelling and Software. 94, 112-126.",Environmental Modelling and Software
Reviewer1,91,10.1016/j.envsoft.2016.11.004,https://doi.org/10.1016/j.envsoft.2016.11.004,"Barca, E.; Porcu, E.; Bruno, D.; Passarella, G. (2017) An automated decision support system for aided assessment of variogram models. Environmental Modelling and Software. 87, 72-83.",Environmental Modelling and Software
Reviewer1,111,10.1016/j.envsoft.2016.12.006,https://doi.org/10.1016/j.envsoft.2016.12.006,"Wright, D.B.; Mantilla, R.; Peters-Lidard, C.D. (2017) A remote sensing-based tool for assessing rainfall-driven hazards. Environmental Modelling and Software. 90, 34-54.",Environmental Modelling and Software
Reviewer1,114,10.1016/j.envsoft.2016.10.004,https://doi.org/10.1016/j.envsoft.2016.10.004,"Houska, T.; Kraft, P.; Liebermann, R.; Klatt, S.; Kraus, D.; Haas, E.; Santabarbara, I.; Kiese, R.; Butterbach-Bahl, K.; Müller, C.; Breuer, L.; Mara, T.A.; Belfort, B.; Fontaine, V.; Younes, A. (2017) Addressing factors fixing setting from given data: A comparison of different methods. Environmental Modelling and Software. 87, 29-38.",Environmental Modelling and Software
Reviewer1,130,10.1016/j.envsoft.2017.01.019,https://doi.org/10.1016/j.envsoft.2017.01.019,"Plucinski, M.P.; Sullivan, A.L.; Rucinski, C.J.; Prakash, M. (2017) Improving the reliability and utility of operational bushfire behaviour predictions in Australian vegetation. Environmental Modelling and Software. 91, 1-12.",Environmental Modelling and Software
