"","x"
"1",7
"2",9
"3",12
"4",21
"5",22
"6",24
"7",25
"8",29
"9",30
"10",31
"11",32
"12",34
"13",39
"14",43
"15",48
"16",50
"17",59
"18",60
"19",61
"20",62
"21",70
"22",71
"23",75
"24",77
"25",80
"26",82
"27",85
"28",89
"29",91
"30",95
"31",98
"32",110
"33",111
"34",112
"35",113
"36",114
"37",118
"38",119
"39",123
"40",130
"41",142
"42",143
"43",158
"44",187
"45",188
"46",208
"47",213
"48",217
"49",226
"50",239
"51",240
"52",295
"53",355
"54",379
"55",384
"56",473
"57",500
"58",523
"59",578
"60",582
"61",618
"62",631
"63",638
"64",639
"65",649
"66",668
"67",718
"68",720
"69",735
"70",797
"71",816
"72",869
"73",872
"74",914
"75",918
"76",938
"77",960
"78",961
"79",973
"80",974
"81",1036
"82",1049
"83",1054
"84",1067
"85",1154
"86",1172
"87",1200
"88",1255
"89",1308
"90",1406
"91",1408
"92",1411
"93",1421
"94",1426
"95",1434
"96",1443
"97",1453
"98",1472
"99",1479
"100",1499
"101",1507
"102",1550
"103",1606
"104",1682
"105",1717
"106",1727
"107",1731
"108",1780
"109",1799
"110",1808
"111",1832
"112",1833
"113",1834
"114",1850
"115",1863
"116",1884
"117",1899
"118",1910
"119",1954
"120",1955
