,x
1,1
2,4
3,15
4,16
5,26
6,58
7,87
8,100
9,141
10,161
11,195
12,201
13,204
14,221
15,223
16,262
17,266
18,270
19,273
20,276
21,277
22,279
23,280
24,293
25,324
26,326
27,328
28,329
29,336
30,338
31,352
32,354
33,364
34,377
35,385
36,388
37,389
38,390
39,395
40,398
41,415
42,434
43,437
44,439
45,443
46,449
47,455
48,476
49,477
50,481
51,487
52,490
53,515
54,533
55,534
56,538
57,556
58,558
59,561
60,563
61,566
62,573
63,574
64,580
65,587
66,588
67,594
68,596
69,603
70,606
71,614
72,619
73,629
74,641
75,645
76,647
77,650
78,651
79,662
80,665
81,666
82,688
83,696
84,699
85,704
86,709
87,723
88,740
89,743
90,750
91,753
92,756
93,762
94,767
95,774
96,789
97,796
98,813
99,815
100,831
101,834
102,836
103,838
104,853
105,889
106,891
107,906
108,926
109,934
110,937
111,946
112,950
113,955
114,996
115,1003
116,1008
117,1012
118,1015
119,1023
120,1024
121,1028
122,1038
123,1043
124,1050
125,1058
126,1068
127,1079
128,1081
129,1083
130,1090
131,1091
132,1095
133,1097
134,1112
135,1134
136,1139
137,1150
138,1152
139,1162
140,1184
141,1198
142,1204
143,1209
144,1217
145,1222
146,1226
147,1230
148,1239
149,1243
150,1245
151,1254
152,1276
153,1283
154,1284
155,1292
156,1294
157,1299
158,1314
159,1327
160,1329
161,1340
162,1342
163,1343
164,1345
165,1349
166,1352
167,1357
168,1366
169,1367
170,1369
171,1373
172,1374
173,1379
174,1392
175,1401
176,1402
177,1412
178,1425
179,1428
180,1439
181,1442
182,1446
183,1462
184,1496
185,1528
186,1530
187,1533
188,1543
189,1553
190,1554
191,1573
192,1576
193,1580
194,1589
195,1594
196,1596
197,1607
198,1608
199,1613
200,1617
201,1620
202,1650
203,1665
204,1673
205,1678
206,1693
207,1701
208,1706
209,1708
210,1712
211,1728
212,1733
213,1740
214,1746
215,1754
216,1763
217,1782
218,1786
219,1792
220,1794
221,1798
222,1800
223,1817
224,1819
225,1829
226,1843
227,1860
228,1869
229,1872
230,1887
231,1897
232,1901
233,1902
234,1907
235,1928
236,1929
237,1951
238,1952
239,1953
240,1961
241,1968
242,1988
243,385
