"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"CREBBC5Y","journalArticle","2017","Kerrou, J.; Deman, G.; Tacher, L.; Benabderrahmane, H.; Perrochet, P.","Numerical and polynomial modelling to assess environmental and hydraulic impacts of the future geological radwaste repository in Meuse site (France)","Environmental Modelling and Software","","13648152","10.1016/j.envsoft.2017.07.018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027869190&doi=10.1016%2fj.envsoft.2017.07.018&partnerID=40&md5=d735dafb978d584cae26114bb85dd2b0","This study aims to evaluate the hydraulic impacts of the construction of a deep geological radwaste repository planned by the ANDRA (French National Agency for Nuclear Waste Management) within the Meuse aquifer system in the east of the Paris basin. A three-dimensional numerical model of variably-saturated flow was developed with respect to the construction data of the Underground Research Laboratory (URL). The flow calibration process was based on the Latin Hypercube Sampling of uncertain hydraulic parameters and the polynomial regression analysis of hundreds of transient flow simulations. The minimization of the objective function led to a good matching of computed and measured time series of state variables. Results showed that the flow perturbation due to the construction of the future repository extends over 10 km around the site. After an operational period of 100 years, the repository post-closure re-saturation time is estimated to thousands of years. © 2017 Elsevier Ltd","2017","2018-01-19 22:34:12","2018-01-19 22:34:12","","157-170","","","97","","","","","","","","","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UDIVM6Z7","journalArticle","2017","Guivarch, C.; Lempert, R.; Trutnevyte, E.","Scenario techniques for energy and environmental research: An overview of recent developments to broaden the capacity to deal with complexity and uncertainty","Environmental Modelling and Software","","13648152","10.1016/j.envsoft.2017.07.017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028319708&doi=10.1016%2fj.envsoft.2017.07.017&partnerID=40&md5=c3b54cf7d8dce6b94e90b48beadebc87","Scenario techniques are a teeming field in energy and environmental research and decision making. This Thematic Issue (TI) highlights quantitative (computational) methods that improve the development and use of scenarios for dealing with the dual challenge of complexity and (deep) uncertainty. The TI gathers 13 articles that describe methodological innovations or extensions and refinements of existing methods, as well as applications that demonstrate the potential of these methodological developments. The TI proposes two methodological foci for dealing with the challenges of (deep) uncertainty and complexity: diversity and vulnerability approaches help tackle uncertainty; multiple-objective and multiple-scale approaches help address complexity; whereas some combinations of those foci can also be applied. This overview article to the TI presents the contributions gathered in the TI, and shows how they individually and collectively bring new capacity to scenarios techniques to deal with complexity and (deep) uncertainty. © 2017 Elsevier Ltd","2017","2018-01-19 22:34:12","2018-01-19 22:34:12","","201-210","","","97","","","","","","","","","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"88LEP567","journalArticle","2017","Bockstaller, C.; Beauchet, S.; Manneville, V.; Amiaud, B.; Botreau, R.","A tool to design fuzzy decision trees for sustainability assessment","Environmental Modelling and Software","","13648152","10.1016/j.envsoft.2017.07.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027867506&doi=10.1016%2fj.envsoft.2017.07.011&partnerID=40&md5=7ec866888638a5603fa5384b0a58f768","Assessment of sustainability is a multicriteria problem that addresses several criteria belonging to various themes structured in sustainability dimensions. There is the need for a relevant aggregation method in addition to the disaggregated indicators. To face this challenge, we developed a new aggregation method, CONTRA, which is based on a decision tree using fuzzy sets. We attempted to combine the advantages of previous tools like DEXi and FisPro that ensure simplicity, flexibility and transparency while limiting subjectivity in the design of decision trees. The results of two examples of implementation in the agricultural sector and a sensitivity test highlight the functionalities of the tool and its discrimination potential. The possibility offered by the tool to correct predetermined decision rules makes it possible to cope with compensation between input variables, an important issue in aggregation. The next step will be the finalisation of the Excel prototype in a user-friendly software. © 2017 Elsevier Ltd","2017","2018-01-19 22:34:13","2018-01-19 22:34:13","","130-144","","","97","","","","","","","","","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68WUVYN7","journalArticle","2017","Gustafson, E.J.; Miranda, B.R.; De Bruijn, A.M.G.; Sturtevant, B.R.; Kubiske, M.E.","Do rising temperatures always increase forest productivity? Interacting effects of temperature, precipitation, cloudiness and soil texture on tree species growth and competition","Environmental Modelling and Software","","13648152","10.1016/j.envsoft.2017.08.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027977430&doi=10.1016%2fj.envsoft.2017.08.001&partnerID=40&md5=ab6610d1bbdff93c45d2bc721729416a","Forest landscape models (FLM) are increasingly used to project the effects of climate change on forested landscapes, yet most use phenomenological approaches with untested assumptions about future forest dynamics. We used a FLM that relies on first principles to mechanistically simulate growth (LANDIS-II with PnET-Succession) to systematically explore how landscapes composed of tree species with various life history traits respond to individual climate and abiotic drivers. Moderate temperature rise (+3 °C) concurrent with rising CO2 concentration increased net photosynthesis of cohorts, but decreased biomass production because of increased maintenance respiration costs. However, an increase of 6 °C decreased both photosynthesis and biomass production, regardless of species optimal temperature. Increasing precipitation generally increased photosynthesis and biomass. Reduced cloudiness had a positive effect on photosynthesis and biomass, but much less than the other treatment factors. Our study informs expectations for the outcome of modeling studies that project forest futures under climate change. © 2017","2017","2018-01-19 22:34:13","2018-01-19 22:34:13","","171-183","","","97","","","","","","","","","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YD5LRUTW","journalArticle","2017","Camilo, D.C.; Lombardo, L.; Mai, P.M.; Dou, J.; Huser, R.","Handling high predictor dimensionality in slope-unit-based landslide susceptibility models through LASSO-penalized Generalized Linear Model","Environmental Modelling and Software","","13648152","10.1016/j.envsoft.2017.08.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027730639&doi=10.1016%2fj.envsoft.2017.08.003&partnerID=40&md5=ac231433fc6a7bd858bd9f757fb1e472","Grid-based landslide susceptibility models at regional scales are computationally demanding when using a fine grid resolution. Conversely, Slope-Unit (SU) based susceptibility models allows to investigate the same areas offering two main advantages: 1) a smaller computational burden and 2) a more geomorphologically-oriented interpretation. In this contribution, we generate SU-based landslide susceptibility for the Sado Island in Japan. This island is characterized by deep-seated landslides which we assume can only limitedly be explained by the first two statistical moments (mean and variance) of a set of predictors within each slope unit. As a consequence, in a nested experiment, we first analyse the distributions of a set of continuous predictors within each slope unit computing the standard deviation and quantiles from 0.05 to 0.95 with a step of 0.05. These are then used as predictors for landslide susceptibility. In addition, we combine shape indices for polygon features and the normalized extent of each class belonging to the outcropping lithology in a given SU. This procedure significantly enlarges the size of the predictor hyperspace, thus producing a high level of slope-unit characterization. In a second step, we adopt a LASSO-penalized Generalized Linear Model to shrink back the predictor set to a sensible and interpretable number, carrying only the most significant covariates in the models. As a result, we are able to document the geomorphic features (e.g., 95% quantile of Elevation and 5% quantile of Plan Curvature) that primarily control the SU-based susceptibility within the test area while producing high predictive performances. The implementation of the statistical analyses are included in a parallelized R script (LUDARA) which is here made available for the community to replicate analogous experiments. © 2017 Elsevier Ltd","2017","2018-01-19 22:34:13","2018-01-19 22:34:13","","145-156","","","97","","","","","","","","","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28UX9QDP","journalArticle","2017","Chappin, E.J.L.; de Vries, L.J.; Richstein, J.C.; Bhagwat, P.; Iychettira, K.; Khan, S.","Simulating climate and energy policy with agent-based modelling: The Energy Modelling Laboratory (EMLab)","Environmental Modelling and Software","","13648152","10.1016/j.envsoft.2017.07.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027562617&doi=10.1016%2fj.envsoft.2017.07.009&partnerID=40&md5=bbbb62044c5b455b35736a3110711062","We present an approach to simulate climate and energy policy for the EU, using a flexible and modular agent-based modelling approach and a toolbox, called the Energy Modelling Laboratory (EMLab). The paper shortly reviews core challenges and approaches for modelling climate and energy policy in light of the energy transition. Afterwards, we present an agent-based model of investment in power generation that has addressed a variety of European energy policy questions. We describe the development of a flexible model core as well as modules on carbon and renewables policies, capacity mechanisms, investment behaviour and representation of intermittent renewables. We present an overview of modelling results, ongoing projects, a case study on current reforms of the EU ETS, and we show their relevance in the EU context. © 2017 Elsevier Ltd","2017","2018-01-19 22:34:14","2018-01-19 22:34:14","","421-431","","","96","","","","","","","","","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GDPL4D6Y","journalArticle","2017","Van Oijen, M.; Cameron, D.; Levy, P.E.; Preston, R.","Correcting errors from spatial upscaling of nonlinear greenhouse gas flux models","Environmental Modelling and Software","","13648152","10.1016/j.envsoft.2017.03.023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018484203&doi=10.1016%2fj.envsoft.2017.03.023&partnerID=40&md5=c25d512cc78108089563b0e14d384781","Ecological models are used to quantify processes over large regions. When the model is nonlinear and input variables are spatially averaged, the regional mean will be in error. A formula for estimating the upscaling error can be derived from Taylor expansion of the model (Bresler and Dagan 1988). We test this for simple models under three different input distributions (Gaussian, exponential, lognormal). In several cases the formula is exact, in others it provides a reasonable approximation. We then study models for emissions of methane, ammonia, and nitrous oxide across the UK. We scale from 1 × 1 km to 32 × 32 km. The UK-average upscaling errors are −12%, −48% and −3%, well estimated using the formula. The formula is a useful tool for modellers desiring to correct upscaling error for their application. Calculation of second-order partial derivatives of model output is required, for which we provide R-code. © 2017","2017","2018-01-19 22:34:14","2018-01-19 22:34:14","","157-165","","","94","","","","","","","","","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KLUT8GDL","journalArticle","2017","Ma, J.; Xiao, X.; Bu, R.; Doughty, R.; Hu, Y.; Chen, B.; Li, X.; Zhao, B.","Application of the space-for-time substitution method in validating long-term biomass predictions of a forest landscape model","Environmental Modelling and Software","","13648152","10.1016/j.envsoft.2017.04.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018477340&doi=10.1016%2fj.envsoft.2017.04.004&partnerID=40&md5=4ddec97dbf8a6788d4ee9a489caece61","Validation of the long-term biomass predictions of forest landscape models (FLMs) has always been a challenging task. Using the space-for-time substitution method, forest biomass curves over stand age were generated from a forest survey dataset (FSD) in the Lesser Khingan Mountains area (LKM), Northeastern China and compared with long-term biomass predictions of LANDIS-II model. The results showed that mean forest age and mean biomass of the LKM in 2000 were 51.6 years and 84.2 Mg ha−1, respectively. Significant linear correlations were found between FSD derived biomass and simulated biomass in the aggradation phase for the entire LKM and most subregions. However, a considerable difference in the mean maximum biomass (53.45 Mg ha−1) existed between from FSD and simulation during the post-aggradation phase. The space-for-time substitution method has potential in validating time series biomass predictions of FLMs in aggradation phase when only limited forest inventory data is available. © 2017 Elsevier Ltd","2017","2018-01-19 22:34:15","2018-01-19 22:34:15","","127-139","","","94","","","","","","","","","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DWHQQJIG","journalArticle","2017","Weir, M.H.; Mitchell, J.; Flynn, W.; Pope, J.M.","Development of a microbial dose response visualization and modelling application for QMRA modelers and educators","Environmental Modelling and Software","","13648152","10.1016/j.envsoft.2016.11.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84998785556&doi=10.1016%2fj.envsoft.2016.11.011&partnerID=40&md5=1b31a285fd393cfd82f92d3183723276","Microbial dose response modelling is vital to a well-characterized microbial risk estimate. Dose response modelling is an inherently multidisciplinary field, which collates knowledge and data from disparate scientific fields. This multidisciplinary nature presents a key challenge to the expansion of microbial dose response modelling into new groups of researchers and modelers. This research employs a dose response optimization R code used in 18 peer-reviewed research studies to develop a multi-functional dose response software. The underlying R code performs an optimization of the two primary dose response models using the MLE method and outputs statistical analyses of the fits and bootstrapped uncertainty information for the models. VizDR (Visual Dose Response) was developed to provide microbial dose response modelling capabilities to a larger audience. VizDR is programmed in JavaScript with underlying Python scripts for intercommunication with Rserve. VizDR allows for dose response model visualization and optimization of a user's own experimental data. © 2016 Elsevier Ltd","2017","2018-01-19 22:34:15","2018-01-19 22:34:15","","74-83","","","88","","","","","","","","","","English","","","","","","","","","","","Risk assessment; Computer software; Uncertainty analysis; Data visualization; Dose response; Dose-response modeling; Dose-response models; Health risks; High level languages; Modelling capabilities; Optimization; QMRA; Risk perception; Scientific fields; Uncertainty informations; Visualization; Wiki","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9GC5WWT6","journalArticle","2017","Horne, A.; Kaur, S.; Szemis, J.; Costa, A.; Webb, J.A.; Nathan, R.; Stewardson, M.; Lowe, L.; Boland, N.","Using optimization to develop a “designer” environmental flow regime","Environmental Modelling and Software","","13648152","10.1016/j.envsoft.2016.11.020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84999885190&doi=10.1016%2fj.envsoft.2016.11.020&partnerID=40&md5=700d27c27417218313f42cec9425f8fd","There are increasing numbers of rivers with large storages, resulting in changes to environmental condition downstream. In these systems, environmental flow regimes that are specifically designed to meet environmental management objectives, whilst continuing to support economic needs, may be the best approach. A challenge remains as to how best to design these novel flow regimes. Decision support tools such as optimization provide a potential tool to achieve this. In existing tools environmental outcomes are not represented with sufficient realism and this is a major barrier to successful adoption by decision-makers. Here, we employ conditional probability networks as a promising approach that provides both ease of modelling and a direct link to ecological outcomes and processes. We present a generic model that can be used to represent any ecological endpoint within a river system. We then demonstrate the approach using two fish species in the Yarra River, Victoria. © 2016 Elsevier Ltd","2017","2018-01-19 22:34:16","2018-01-19 22:34:16","","188-199","","","88","","","","","","","","","","English","","","","","","","","","","","Australia; Decision making; optimization; river flow; Optimization; Bayesian analysis; Bayesian networks; Conditional probabilities; decision support system; Decision support systems; Decision support tools; design method; Designer flow; Ecology; Environmental conditions; environmental factor; Environmental flow; Environmental flow regime; Environmental management; Environmental outcome; environmental planning; flow pattern; Integer programming; Mixed integer programming; probability; Rivers; Victoria [Australia]; Yarra River [Victoria]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
