"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"CV48T34W","journalArticle","2017","Chowdhury, A.F.M.K.; Lockart, N.; Willgoose, G.; Kuczera, G.; Kiem, A.S.; Manage, N.P.","Development and evaluation of a stochastic daily rainfall model with long-term variability","Hydrology and Earth System Sciences","","10275606","10.5194/hess-21-6541-2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039866192&doi=10.5194%2fhess-21-6541-2017&partnerID=40&md5=3bc9f6f8b67135d73ce26aaa6cc8d6eb","The primary objective of this study is to develop a stochastic rainfall generation model that can match not only the short resolution (daily) variability but also the longer resolution (monthly to multiyear) variability of observed rainfall. This study has developed a Markov chain (MC) model, which uses a two-state MC process with two parameters (wet-to-wet and dry-to-dry transition probabilities) to simulate rainfall occurrence and a gamma distribution with two parameters (mean and standard deviation of wet day rainfall) to simulate wet day rainfall depths. Starting with the traditional MC-gamma model with deterministic parameters, this study has developed and assessed four other variants of the MC-gamma model with different parameterisations. The key finding is that if the parameters of the gamma distribution are randomly sampled each year from fitted distributions rather than fixed parameters with time, the variability of rainfall depths at both short and longer temporal resolutions can be preserved, while the variability of wet periods (i.e. number of wet days and mean length of wet spell) can be preserved by decadally varied MC parameters. This is a straightforward enhancement to the traditional simplest MC model and is both objective and parsimonious. © Author(s) 2017.","2017","2018-01-19 22:50:33","2018-01-19 22:50:33","","6541-6558","","12","21","","","","","","","","","","English","","","","","","","","","","","Markov chain; Rain; Transition probabilities; rainfall; rainfall-runoff modeling; Gamma distribution; parameter estimation; parameterization; model test; Probability distributions; Stochastic models; Stochastic systems; stochasticity; precipitation assessment; Markov processes; diurnal variation; resolution; Daily rainfall model; Long-term variability; Mean and standard deviations; Primary objective; Stochastic rainfall generations; Temporal resolution; valuation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZARMGC4D","journalArticle","2017","Sungmin, O.; Foelsche, U.; Kirchengast, G.; Fuchsberger, J.; Tan, J.; Petersen, W.A.","Evaluation of GPM IMERG Early, Late, and Final rainfall estimates using WegenerNet gauge data in southeastern Austria","Hydrology and Earth System Sciences","","10275606","10.5194/hess-21-6559-2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039971646&doi=10.5194%2fhess-21-6559-2017&partnerID=40&md5=18895e6bc43bb2707ab7390b7382835c","The Global Precipitation Measurement (GPM) Integrated Multi-satellite Retrievals for GPM (IMERG) products provide quasi-global (60° N-60° S) precipitation estimates, beginning March 2014, from the combined use of passive microwave (PMW) and infrared (IR) satellites comprising the GPM constellation. The IMERG products are available in the form of near-real-time data, i.e., IMERG Early and Late, and in the form of post-real-time research data, i.e., IMERG Final, after monthly rain gauge analysis is received and taken into account. In this study, IMERG version 3 Early, Late, and Final (IMERG-E,IMERG-L, and IMERG-F) half-hourly rainfall estimates are compared with gauge-based gridded rainfall data from theWegenerNet Feldbach region (WEGN) high-density climate station network in southeastern Austria. The comparison is conducted over two IMERG 0.1° ×0.1° grid cells, entirely covered by 40 and 39 WEGN stations each, using data from the extended summer season (April-October) for the first two years of the GPM mission. The entire data are divided into two rainfall intensity ranges (low and high) and two seasons (warm and hot), and we evaluate the performance of IMERG, using both statistical and graphical methods. Results show that IMERGF rainfall estimates are in the best overall agreement with the WEGN data, followed by IMERG-L and IMERG-E estimates, particularly for the hot season. We also illustrate, through rainfall event cases, how insufficient PMW sources and errors in motion vectors can lead to wide discrepancies in the IMERG estimates. Finally, by applying the method of Villarini and Krajewski (2007), we find that IMERG-F halfhourly rainfall estimates can be regarded as a 25 min gauge accumulation, with an offset of C40 min relative to its nominal time. © 2017 Author(s).","2017","2018-01-19 22:50:33","2018-01-19 22:50:33","","6559-6572","","12","21","","","","","","","","","","English","","","","","","","","","","","Rain; rainfall; data set; Precipitation (meteorology); precipitation (climatology); Gages; raingauge; Austria; Climate stations; Global precipitation measurements; Graphical methods; Near real-time datum; Passive microwaves; precipitation intensity; Rain gages; Rainfall estimates; Rainfall intensity; satellite constellation; Satellite retrieval","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FPTYRG3Z","journalArticle","2017","Meunier, F.; Couvreur, V.; Draye, X.; Zarebanadkouki, M.; Vanderborght, J.; Javaux, M.","Water movement through plant roots - Exact solutions of the water flow equation in roots with linear or exponential piecewise hydraulic properties","Hydrology and Earth System Sciences","","10275606","10.5194/hess-21-6519-2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039160432&doi=10.5194%2fhess-21-6519-2017&partnerID=40&md5=119054476160be7e390e640007c12a33","In 1978, Landsberg and Fowkes presented a solution of the water flow equation inside a root with uniform hydraulic properties. These properties are root radial conductivity and axial conductance, which control, respectively, the radial water flow between the root surface and xylem and the axial flow within the xylem. From the solution for the xylem water potential, functions that describe the radial and axial flow along the root axis were derived. These solutions can also be used to derive root macroscopic parameters that are potential input parameters of hydrological and crop models. In this paper, novel analytical solutions of the water flow equation are developed for roots whose hydraulic properties vary along their axis, which is the case for most plants. We derived solutions for single roots with linear or exponential variations of hydraulic properties with distance to root tip. These solutions were subsequently combined to construct single roots with complex hydraulic property profiles. The analytical solutions allow one to verify numerical solutions and to get a generalization of the hydric behaviour with the main influencing parameters of the solutions. The resulting flow distributions in heterogeneous roots differed from those in uniform roots and simulations led to more regular, less abrupt variations of xylem suction or radial flux along root axes. The model could successfully be applied to maize effective root conductance measurements to derive radial and axial hydraulic properties. We also show that very contrasted root water uptake patterns arise when using either uniform or heterogeneous root hydraulic properties in a soil-root model. The optimal root radius that maximizes water uptake under a carbon cost constraint was also studied. The optimal radius was shown to be highly dependent on the root hydraulic properties and close to observed properties in maize roots. We finally used the obtained functions for evaluating the impact of root maturation versus root growth on water uptake. Very diverse uptake strategies arise from the analysis. These solutions open new avenues to investigate for optimal genotype-environment-management interactions by optimization, for example, of plant-scale macroscopic hydraulic parameters used in ecohydrogolocial models. © 2017 Author(s).","2017","2018-01-19 22:50:34","2018-01-19 22:50:34","","6519-6540","","12","21","","","","","","","","","","English","","","","","","","","","","","optimization; ecohydrology; Hydraulics; agricultural modeling; water flow; Flow of water; Carbon; Plants (botany); Zea mays; Axial flow; Conductance measurement; Environment management; Exponential variation; genotype-environment interaction; Hydraulic parameters; Hydraulic properties; hydraulic property; Influencing parameters; Macroscopic parameters; morphology; root; water uptake; xylem; Xylem water potential","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GDJVBY6S","journalArticle","2017","Ritschel, C.; Ulbrich, U.; Névir, P.; Rust, H.W.; Qiu, L.; Wu, Y.; Wang, L.; Lei, X.; Liao, W.; Hui, Y.; Meng, X.","Spatiotemporal response of the water cycle to land use conversions in a typical hilly-gully basin on the Loess Plateau, China","Hydrology and Earth System Sciences","","10275606","10.5194/hess-21-6485-2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038622985&doi=10.5194%2fhess-21-6485-2017&partnerID=40&md5=d0676009610db0c0e4748840f8d4ab06","The hydrological effects of the <q>Grain for Green</q> project (GFGP) on the Loess Plateau have been extensively debated due to the complexity of the water system and its multiple driving factors. The aim of this study was to investigate the response of the hydrological cycle to the GFGP measures based in a case study of the Yanhe Basin, a typical hilly-gully area on the Loess Plateau of China. First, we analyzed the land use and land cover (LULC) changes from 1990 to 2010. Then, we evaluated the effects of LULC changes and sloping land conversion on the main hydrological components in the basin using the Soil and Water Assessment Tool (SWAT). The results indicated that cropland exhibited a decreasing trend, declining from 40.2ĝ€% of the basin area in 1990 to 17.6ĝ€% in 2010, and that the woodland and grassland areas correspondingly increased. With the land use changes from 1990 to 2010, the water yield showed a decreasing trend which was mainly due to decrease in surface runoff. In contrast, evapotranspiration (ET) showed an increasing trend over the same period, resulting in a persistent decrease in soil water. The conversion of sloping cropland to grassland or woodland exerted negative effects on water yield and soil water. Compared with the land use condition in 2010, the negative effects were most evident where cropland with a slopeĝ€ ≥ ĝ€15° was converted to woodland, with decreases in surface runoff and soil water of 17.1 and 6.4ĝ€%, respectively. These results suggest that the expansive reforestation on sloping land in the loess hilly-gully region decreased water yield and increased ET, resulting in reduced soil water. The results of this study can be used to support sustainable land use planning and water resource management on the Loess Plateau in China. © Author(s) 2017.","2017","2018-01-19 22:50:34","2018-01-19 22:50:34","","6485-6499","","12","21","","Hydrology and Earth System Sciences","","","","","","","","English","","","","","","","","","","","China; Rain; Runoff; Water management; Water resources; evapotranspiration; hydrological cycle; land cover; Sediments; Land use; Sustainable land use; runoff; spatiotemporal analysis; soil and water assessment tool; Soil and water assessment tool; Soil moisture; soil water; Soils; Landforms; complexity; hydrological response; land use change; Waterresource management; agricultural land; Reforestation; grassland; Hydrological effects; Land use and land cover; Loess hilly gully region; Loess Plateau; Loess plateau of chinas; reforestation; Shaanxi; Spatiotemporal response; woodland; Yanhe Basin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IC6D5TRL","journalArticle","2017","Avisse, N.; Tilmant, A.; François Müller, M.; Zhang, H.","Monitoring small reservoirs' storage with satellite remote sensing in inaccessible areas","Hydrology and Earth System Sciences","","10275606","10.5194/hess-21-6445-2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038818699&doi=10.5194%2fhess-21-6445-2017&partnerID=40&md5=d600889011001be5689a537511c28f11","In river basins with water storage facilities, the availability of regularly updated information on reservoir level and capacity is of paramount importance for the effective management of those systems. However, for the vast majority of reservoirs around the world, storage levels are either not measured or not readily available due to financial, political, or legal considerations. This paper proposes a novel approach using Landsat imagery and digital elevation models (DEMs) to retrieve information on storage variations in any inaccessible region. Unlike existing approaches, the method does not require any in situ measurement and is appropriate for monitoring small, and often undocumented, irrigation reservoirs. It consists of three recovery steps: (i) a 2-D dynamic classification of Landsat spectral band information to quantify the surface area of water, (ii) a statistical correction of DEM data to characterize the topography of each reservoir, and (iii) a 3-D reconstruction algorithm to correct for clouds and Landsat 7 Scan Line Corrector failure. The method is applied to quantify reservoir storage in the Yarmouk basin in southern Syria, where ground monitoring is impeded by the ongoing civil war. It is validated against available in situ measurements in neighbouring Jordanian reservoirs. Coefficients of determination range from 0.69 to 0.84, and the normalized root-mean-square error from 10 to 16g % for storage estimations on six Jordanian reservoirs with maximal water surface areas ranging from 0.59 to 3.79g km2.","2017","2018-01-19 22:50:35","2018-01-19 22:50:35","","6445-6459","","12","21","","","","","","","","","","English","","","","","","","","","","","algorithm; classification; reservoir; remote sensing; topography; Information management; Remote sensing; in situ measurement; Digital storage; Classification (of information); digital elevation model; Mean square error; Root mean square errors; Digital elevation model; Surveying; Reservoirs (water); monitoring; 3-D reconstruction algorithms; Dynamic classification; Effective management; information; Irrigation reservoirs; Jordan; Landsat; Reservoir management; satellite imagery; Satellite remote sensing; Scan line correctors; storage; surface area; Syrian Arab Republic; Yarmouk Basin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IJ4JYIKH","journalArticle","2017","Ockenden, M.C.; Tych, W.; Beven, K.J.; Collins, A.L.; Evans, R.; Falloon, P.D.; Forber, K.J.; Hiscock, K.M.; Hollaway, M.J.; Kahana, R.; Macleod, C.J.A.; Villamizar, M.L.; Wearing, C.; Withers, P.J.A.; Zhou, J.G.; Benskin, C.M.H.; Burke, S.; Cooper, R.J.; Freer, J.E.; Haygarth, P.M.","Prediction of storm transfers and annual loads with data-based mechanistic models using high-frequency data","Hydrology and Earth System Sciences","","10275606","10.5194/hess-21-6425-2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038879288&doi=10.5194%2fhess-21-6425-2017&partnerID=40&md5=ebe125d0dceb48aa0ba4291b1d9e4e8a","Excess nutrients in surface waters, such as phosphorus (P) from agriculture, result in poor water quality, with adverse effects on ecological health and costs for remediation. However, understanding and prediction of P transfers in catchments have been limited by inadequate data and over-parameterised models with high uncertainty. We show that, with high temporal resolution data, we are able to identify simple dynamic models that capture the P load dynamics in three contrasting agricultural catchments in the UK. For a flashy catchment, a linear, second-order (two pathways) model for discharge gave high simulation efficiencies for short-term storm sequences and was useful in highlighting uncertainties in out-of-bank flows. A model with non-linear rainfall input was appropriate for predicting seasonal or annual cumulative P loads where antecedent conditions affected the catchment response. For second-order models, the time constant for the fast pathway varied between 2 and 15ĝ€h for all three catchments and for both discharge and P, confirming that high temporal resolution data are necessary to capture the dynamic responses in small catchments (10-50ĝ€km2). The models led to a better understanding of the dominant nutrient transfer modes, which will be helpful in determining phosphorus transfers following changes in precipitation patterns in the future.","2017","2018-01-19 22:50:37","2018-01-19 22:50:37","","6425-6444","","12","21","","","","","","","","","","English","","","","","","","","","","","Runoff; United Kingdom; Water quality; catchment; prediction; rainfall; surface water; data set; water quality; hydrological modeling; Forecasting; Agriculture; runoff; Catchments; Storms; ecosystem health; precipitation (climatology); peak discharge; nutrient dynamics; Nutrients; frequency analysis; Phosphorus; Agricultural catchments; antecedent conditions; Catchment response; High frequency data; High temporal resolution; Phosphorus transfer; Precipitation patterns; Second-order models; Simulation efficiency","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6PLCUPW9","journalArticle","2017","Ganguli, P.; Coulibaly, P.","Does nonstationarity in rainfall require nonstationary intensity-duration-frequency curves?","Hydrology and Earth System Sciences","","10275606","10.5194/hess-21-6461-2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038839798&doi=10.5194%2fhess-21-6461-2017&partnerID=40&md5=3801c83ae311fc4e1ab13b561f7ea762","In Canada, risk of flooding due to heavy rainfall has risen in recent decades; the most notable recent examples include the July 2013 storm in the Greater Toronto region and the May 2017 flood of the Toronto Islands. We investigate nonstationarity and trends in the short-duration precipitation extremes in selected urbanized locations in Southern Ontario, Canada, and evaluate the potential of nonstationary intensity-duration-frequency (IDF) curves, which form an input to civil infrastructural design. Despite apparent signals of nonstationarity in precipitation extremes in all locations, the stationary vs. nonstationary models do not exhibit any significant differences in the design storm intensity, especially for short recurrence intervals (up to 10 years). The signatures of nonstationarity in rainfall extremes do not necessarily imply the use of nonstationary IDFs for design considerations. When comparing the proposed IDFs with current design standards, for return periods (10 years or less) typical for urban drainage design, current design standards require an update of up to 7ĝ€%, whereas for longer recurrence intervals (50-100 years), ideal for critical civil infrastructural design, updates ranging between ĝ1/4 2 and 44ĝ€% are suggested. We further emphasize that the above findings need re-evaluation in the light of climate change projections since the intensity and frequency of extreme precipitation are expected to intensify due to global warming.","2017","2018-01-19 22:50:39","2018-01-19 22:50:39","","6461-6483","","12","21","","","","","","","","","","English","","","","","","","","","","","Climate change; Extreme precipitation; Rain; global warming; rainfall; urbanization; climate change; Floods; flooding; Canada; Precipitation (meteorology); Storms; urban drainage; precipitation (climatology); flood; Intensity-duration-frequency curves; return period; Ontario [Canada]; Climate change projections; Design considerations; Global warming; Non-stationary model; Precipitation extremes; Recurrence intervals; Toronto; Urban drainage designs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5SPHHZPH","journalArticle","2017","Sorí, R.; Nieto, R.; Drumond, A.; Vicente-Serrano, S.M.; Gimeno, L.","The atmospheric branch of the hydrological cycle over the Indus, Ganges, and Brahmaputra river basins","Hydrology and Earth System Sciences","","10275606","10.5194/hess-21-6379-2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038634992&doi=10.5194%2fhess-21-6379-2017&partnerID=40&md5=16b41b798b01c64e3adca42aed900a78","The atmospheric branch of the hydrological cycle over the Indus, Ganges, and Brahmaputra river basins (IRB, GRB, and BRB respectively) in the South Asian region was investigated. The 3-dimensional model FLEXPART v9.0 was utilized. An important advantage of this model is that it permits the computation of the freshwater budget on air parcel trajectories both backward and forward in time from 0.1 to 1000ĝ€hPa in the atmospheric vertical column. The analysis was conducted for the westerly precipitation regime (WPR) (November-April) and the monsoonal precipitation regime (MPR) (May-October) in the period from 1981 to 2015. The main terrestrial and oceanic climatological moisture sources for the IRB, GRB, and BRB and their contribution to precipitation over the basins were identified. For the three basins, the most important moisture sources for precipitation are (i) in the continental regions, the land masses to the west of the basins (in this case called western Asia), the Indian region (IR), and the basin itself, and (ii) from the ocean, the utmost sources being the Indian Ocean (IO) and the Bay of Bengal (BB), and it is remarkable that despite the amount of moisture reaching the Indus and Ganges basins from land sources, the moisture supply from the IO seems to be first associated with the rapid increase or decrease in precipitation over the sources in the MPR. The technique of the composites was used to analyse how the moisture uptake values spatially vary from the sources (the budget of evaporation minus precipitation (<i>E</i> ĝ' <i>P</i>) was computed in a backward experiment from the basins) but during the pre-onset and pre-demise dates of the monsoonal rainfall over each basin; this confirmed that over the last days of the monsoon at the basins, the moisture uptake areas decrease in the IO. The Indian region, the Indian Ocean, the Bay of Bengal, and the basins themselves are the main sources of moisture responsible for negative (positive) anomalies of moisture contribution to the basins during composites of driest (wettest) WPR and MPR. © Author(s) 2017.","2017","2018-01-19 22:50:41","2018-01-19 22:50:41","","6379-6399","","12","21","","","","","","","","","","English","","","","","","","","","","","hydrological cycle; rainfall; Watersheds; Budget control; Precipitation (meteorology); river basin; precipitation (climatology); Moisture; 3-dimensional modeling; Barium compounds; Bay of Bengal; Brahmaputra River; estuarine front; Ganges River; Hydrological cycles; Indian Ocean; Indus River; Moisture sources; Moisture uptake; Monsoonal precipitation; Precipitation regimes; South Asia; Vertical columns; westerly","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IWCVNV6Z","journalArticle","2017","Jones, S.P.; Oge, J.; Sauze, J.; Wohl, S.; Saavedra, N.; Fernández-Prado, N.; Maire, J.; Launois, T.; Bosc, A.; Wingate, L.; Cammalleri, C.; Vogt, J.V.; Bisselink, B.; De Roo, A.","Comparing soil moisture anomalies from multiple independent sources over different regions across the globe","Hydrology and Earth System Sciences","","10275606","10.5194/hess-21-6329-2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038441225&doi=10.5194%2fhess-21-6329-2017&partnerID=40&md5=64fcfbe9d1bba875fc733e1aedd15017","Agricultural drought events can affect large regions across the world, implying the need for a suitable global tool for an accurate monitoring of this phenomenon. Soil moisture anomalies are considered a good metric to capture the occurrence of agricultural drought events, and they have become an important component of several operational drought monitoring systems. In the framework of the JRC Global Drought Observatory (GDO, <a hrefCombining double low line""http://edo.jrc.ec.europa.eu/gdo/"" targetCombining double low line""-blank"">http://edo.jrc.ec.europa.eu/gdo/</a>), the suitability of three datasets as possible representations of root zone soil moisture anomalies has been evaluated: (1) the soil moisture from the Lisflood distributed hydrological model (namely LIS), (2) the remotely sensed Land Surface Temperature data from the MODIS satellite (namely LST), and (3) the ESA Climate Change Initiative combined passive/active microwave skin soil moisture dataset (namely CCI). Due to the independency of these three datasets, the triple collocation (TC) technique has been applied, aiming at quantifying the likely error associated with each dataset in comparison to the unknown true status of the system. TC analysis was performed on five macro-regions (namely North America, Europe, India, southern Africa and Australia) detected as suitable for the experiment, providing insight into the mutual relationship between these datasets as well as an assessment of the accuracy of each method. Even if no definitive statement on the spatial distribution of errors can be provided, a clear outcome of the TC analysis is the good performance of the remote sensing datasets, especially CCI, over dry regions such as Australia and southern Africa, whereas the outputs of LIS seem to be more reliable over areas that are well monitored through meteorological ground station networks, such as North America and Europe. In a global drought monitoring system, the results of the error analysis are used to design a weighted-average ensemble system that exploits the advantages of each dataset. © 2017 Author(s).","2017","2018-01-19 22:50:43","2018-01-19 22:50:43","","6329-6343","","12","21","","Hydrology and Earth System Sciences","","","","","","","","English","","","","","","","","","","","Australia; Climate change; Europe; drought; satellite data; soil moisture; data set; remote sensing; Africa; North America; Drought; Climate models; Agriculture; comparative study; global perspective; spatial distribution; Remote sensing; Soil moisture; Soils; Drought monitoring; Errors; Monitoring; MODIS; India; monitoring system; Moisture; Agricultural drought; Distributed hydrological model; Ground station networks; Independent sources; land information system; Land surface temperature; rhizosphere; Root zone soil moistures; Spatial distribution of errors","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YRA6IIYZ","journalArticle","2017","Guerrero, J.-L.; Pernica, P.; Wheater, H.; MacKay, M.; Spence, C.","Parameter sensitivity analysis of a 1-D cold region lake model for land-surface schemes","Hydrology and Earth System Sciences","","10275606","10.5194/hess-21-6345-2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038434032&doi=10.5194%2fhess-21-6345-2017&partnerID=40&md5=7143e45ad20e820759a2434c2dfa40cd","Lakes might be sentinels of climate change, but the uncertainty in their main feedback to the atmosphere-heat-exchange fluxes-is often not considered within climate models. Additionally, these fluxes are seldom measured, hindering critical evaluation of model output. Analysis of the Canadian Small Lake Model (CSLM), a one-dimensional integral lake model, was performed to assess its ability to reproduce diurnal and seasonal variations in heat fluxes and the sensitivity of simulated fluxes to changes in model parameters, i.e., turbulent transport parameters and the light extinction coefficient (Kd). A C++ open-source software package, Problem Solving environment for Uncertainty Analysis and Design Exploration (PSUADE), was used to perform sensitivity analysis (SA) and identify the parameters that dominate model behavior. The generalized likelihood uncertainty estimation (GLUE) was applied to quantify the fluxes' uncertainty, comparing daily-averaged eddy-covariance observations to the output of CSLM. Seven qualitative and two quantitative SA methods were tested, and the posterior likelihoods of the modeled parameters, obtained from the GLUE analysis, were used to determine the dominant parameters and the uncertainty in the modeled fluxes. Despite the ubiquity of the equifinality issue-different parameter-value combinations yielding equivalent results-the answer to the question was unequivocal: Kd, a measure of how much light penetrates the lake, dominates sensible and latent heat fluxes, and the uncertainty in their estimates is strongly related to the accuracy with which Kd is determined. This is important since accurate and continuous measurements of Kd could reduce modeling uncertainty. © 2017 Author(s).","2017","2018-01-19 22:50:45","2018-01-19 22:50:45","","6345-6362","","12","21","","","","","","","","","","English","","","","","","","","","","","Climate change; Sensitivity analysis; sensitivity analysis; climate modeling; land surface; Computer software; Open source software; software; climate change; parameter estimation; Uncertainty analysis; Climate models; Software engineering; numerical model; Problem solving; Open systems; seasonal variation; one-dimensional modeling; uncertainty analysis; C++ (programming language); Continuous measurements; Lakes; diurnal variation; Heat flux; Generalized likelihood uncertainty estimation; extinction coefficient; Glues; Gluing; heat flux; lake; Light extinction; Light extinction coefficients; Parameter sensitivity analysis; Posterior likelihood; Problem solving environments; Sensible and latent heat fluxes; Turbulent transports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
