"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"YWVJBY8T","journalArticle","2017","Mikovits, C.; Tscheikner-Gratl, F.; Jasper-Tönnies, A.; Einfalt, T.; Huttenlau, M.; Schöpf, M.; Kinzel, H.; Rauch, W.; Kleidorfer, M.","Decision support for adaptation planning of urban drainage systems","Journal of Water Resources Planning and Management","","07339496","10.1061/(ASCE)WR.1943-5452.0000840","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030169129&doi=10.1061%2f%28ASCE%29WR.1943-5452.0000840&partnerID=40&md5=b0a200d209e9c522dda5815c86fa659a","Urban drainage networks are under constant pressure caused by a permanently changing environment. For proactive planning, management, and adaptation of urban water infrastructure, a robust and comprehensive knowledge base is needed as decision support. This paper shows an integrated approach for decision support consisting of urban development modeling, climate projections, hydrodynamic sewer modeling, and Web-GIS visualization of interactive risk maps for pluvial flooding. The application on an Alpine case study demonstrates the benefits of such a combined consideration of different drivers. Climate projections of precipitation are based on four climate projections produced specifically for the Alps on a 0.1° grid. In order to obtain precipitation data with an adequate resolution for urban drainage modeling, the projections are downscaled using a statistical downscaling method. The results indicate a trend toward more intense heavy precipitation during summer until 2050. The effect of this trend can either be compensated or amplified by city development. It is shown that population growth on its own does not necessarily lead to a decrease of system performance, but that clever spatial planning can reduce negative effects. The visualization helps to involve stakeholders, politicians, and the public by illustrating model results for strategic planning and in workshops. © 2017 American Society of Civil Engineers.","2017","2018-01-19 23:07:43","2018-01-19 23:07:43","","","","12","143","","","","","","","","","","English","","","","","","","","","","","Climate projection; United States; Statistical downscaling; Visualization; decision support system; Decision support systems; Maps; urban drainage; Knowledge based systems; climate prediction; Population statistics; California; urban development; urban planning; Urban drainage systems; adaptive management; Urban growth; Drainage; Heavy precipitation; Urban drainage model; Alpine County; Changing environment; Constant pressures; Integrated approach","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BNEAG6JC","journalArticle","2017","Gao, T.","Roughness and demand estimation in water distribution networks using head loss adjustment","Journal of Water Resources Planning and Management","","07339496","10.1061/(ASCE)WR.1943-5452.0000845","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030329487&doi=10.1061%2f%28ASCE%29WR.1943-5452.0000845&partnerID=40&md5=28b583de91edf5d207379efa572ada9f","To estimate pipe roughness and nodal demand parameters in water distribution networks, a method based on head loss adjustment is proposed. By using weighted least squares (WLS), model-simulated head losses are adjusted to minimize the sum of the squares of the corrections (differences between simulated and adjusted values) of simulated head losses under the constraints of head and flow measurements. Pipe roughness coefficients (Hazen-Williams C-factors) are computed by using the ratio of the simulated to adjusted head losses and refined by using boundary-fence and gross-error detection techniques. With the adjusted C-factors and head losses, pipe flows are computed to rectify nodal demands, which are limited in their boundary fences. After the demand multipliers are computed and filtered by using grosserror detection techniques, a large number of nodal demands make an advance. The loop of model simulation, head loss adjustment, and roughness and demand calibrations runs iteratively from different starting points of C-factor under multiple loading conditions, then realistic roughness and demands are achieved. The method was verified on two benchmark networks-a hypothetical network and a real network- by using noisy head and flow measurements. The results show that the method is effective for dual estimation of roughness and demand parameters. © 2017 American Society of Civil Engineers.","2017","2018-01-19 23:07:44","2018-01-19 23:07:44","","","","12","143","","","","","","","","","","English","","","","","","","","","","","water management; Model calibration; distribution system; Water distribution systems; Water supply systems; calibration; least squares method; roughness; Iterative methods; demand analysis; pipe flow; Water piping systems; Fences; Flow measurement; Head loss; Roughness and demands; Water distribution networks; Weighted least squares","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2N3445KR","journalArticle","2017","Séguin, S.; Audet, C.; Côté, P.","Scenario-tree modeling for stochastic short-term hydropower operations planning","Journal of Water Resources Planning and Management","","07339496","10.1061/(ASCE)WR.1943-5452.0000854","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031046529&doi=10.1061%2f%28ASCE%29WR.1943-5452.0000854&partnerID=40&md5=5b6d080e44affa8cb45abbba62d0985b","Real-time hydropower operations planning requires many optimization models in order to efficiently manage the hydropower system. The short-term hydropower model is used on a daily basis to dispatch the volume of water available to the turbines. This paper considers a stochastic short-term model. Uncertainty of inflows is represented with scenario trees, which are a discrete representation of the continuous distribution of the inflows. In addition, the complexity needed in the scenario trees to maximize the energy production in a rollinghorizon framework is investigated. Methods to generate scenario trees require input parameters that may be laborious to determine, and defining the structure of the tree in a real-time context is time consuming. Three comparisons are conducted to assess the complexity required in the scenario trees to obtain a good operational solution for the short-term hydropower optimization model. The first involves generating a set of scenario trees built from inflow forecast data over a rolling horizon. The second replaces the entire set of scenario trees by the median scenario. The third replaces the set of trees by scenario fans. The method used to build scenario trees requires three parameters: number of stages, number of child nodes at each stage, and aggregation of the period covered by each stage. The question of finding the best values of these parameters is formulated as a black-box optimization problem that maximizes energy production over the rolling horizon. Numerical experiments with real data on three hydropower plants in series suggest that using a set of scenario trees is preferable to using the median scenario, but using a fan of scenarios yields a comparable solution with less computational effort. © 2017 American Society of Civil Engineers.","2017","2018-01-19 23:07:45","2018-01-19 23:07:45","","","","12","143","","","","","","","","","","English","","","","","","","","","","","optimization; Optimization; numerical model; Forestry; Stochastic models; Stochastic systems; stochasticity; complexity; Trees (mathematics); Optimization modeling; Computational effort; Decision trees; hydroelectric power; Numerical experiments; Black-box optimization; Continuous distribution; Hydroelectric power; Operational solutions; Operations planning; Optimization models","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J74R3LNN","journalArticle","2017","Zafari, M.; Tabesh, M.; Nazif, S.","Minimizing the adverse effects of contaminant propagation in water distribution networks considering the pressure-driven analysis method","Journal of Water Resources Planning and Management","","07339496","10.1061/(ASCE)WR.1943-5452.0000848","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030983133&doi=10.1061%2f%28ASCE%29WR.1943-5452.0000848&partnerID=40&md5=8df1f187a786eaed565b64f10e5dd341","Contaminant intrusion into water distribution networks can have disastrous consequences. This event poses a threat to public health and could result in political instability and social problems. After the contaminant and its source are detected, the main issues are consequences management and contaminant withdrawal from the water distribution network. To do this, several actions are required, including containing contaminant spread by closing valves and opening hydrants to flush out the polluted water. These actions may lead the network to a critical state in which the pressure of some nodes falls below the standard measure. In these network conditions, a pressure driven analysis of the water distribution network would be necessary. In this study, a combination of hydraulic simulation based on pressure driven analysis and particle swarm optimization is used to minimize the negative effects of contaminated water on public health as an immediate response after the contaminant entrance into water is detected. Based on the type of contaminant, two different emergency response strategies are introduced. Multiobjective optimization is performed when a nonharmful contaminant has entered the network. In this case, the main objectives are to minimize the impacts of contaminated water on consumers and the cost of operations. In another response strategy, reducing the time the network requires to return to a normal state is the objective of single-objective optimization when the contaminant is harmful. The proposed model was applied on the water distribution network of Sabzevar in northeastern Iran. The results proved the model's credibility and its applicability in real water distribution networks, even in cases of contaminant intrusion. © 2017 American Society of Civil Engineers.","2017","2018-01-19 23:07:46","2018-01-19 23:07:46","","","","12","143","","","","","","","","","","English","","","","","","","","","","","Contamination; Iran; optimization; water supply; Multiobjective optimization; water management; Health risks; Mercury (metal); Water pollution; distribution system; Water distribution systems; Water supply systems; pollutant transport; Response strategies; public health; Public health; Evolutionary algorithms; pollution control; Razavi Khorasan; Particle swarm optimization (PSO); Hydraulic simulation; Water distribution networks; Consequence management; Contaminant intrusions; Critical current density (superconductivity); Electric power distribution; Political instability; pollutant source; Pollution detection; pressure; Pressure-driven; Sabzevar; Single objective optimization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5NJM2BKS","journalArticle","2017","Hwang, H.; Lansey, K.","Water distribution system classification using system characteristics and graph-theory metrics","Journal of Water Resources Planning and Management","","07339496","10.1061/(ASCE)WR.1943-5452.0000850","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030759502&doi=10.1061%2f%28ASCE%29WR.1943-5452.0000850&partnerID=40&md5=9990ac0c4ea21551cc359919cdd369bc","This paper proposes a system-characteristics and graph theory-based water distribution system (WDS) model classification scheme that is based on system function and topology. Various parameters are examined to determine the most adequate parameter(s) for describing a WDS. The classification scheme is applied to a single hypothetical and 25 real systems. The primary indicator to classify a WDS function (transmission or distribution networks) is the length-weighted average pipe diameter. The average nodal demand and histogram of total length of each pipe diameter are applied as secondary measures. A new parameter, defined as the branch index (BI), is used to further classify a branched network by estimating the degree of branching within a WDS. The degree of looping and a second level of classification are based on the meshedness coefficient (MC), but only after the system is reduced to eliminate nonessential nodes. BI values are compared with other system-structure metrics in the literature including link density (LD), average node degree (AND), MC, and clustering coefficient (CC). To that end, Pearson correlation coefficients are computed across the set of other metrics for 26 systems. The correlation analysis reveals that several graph-theory system-structure metrics are highly correlated. © 2017 American Society of Civil Engineers.","2017","2018-01-19 23:07:47","2018-01-19 23:07:47","","04017071","","12","143","","","","","","","","","","English","","","","","","","","","","","Correlation analysis; classification; correlation; water; distribution system; Water distribution systems; Water supply systems; Distribution functions; graphical method; Graph theory; Correlation methods; Pearson correlation coefficients; Topology; Transfer functions; Average node degrees; Classification scheme; Clustering coefficient; Model classification; Piping systems; Structured programming; System characteristics; topology; Water distribution system models","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8JW4F5BX","journalArticle","2017","Rosenberg, D.E.; Babbar-Sebens, M.; Root, E.; Herman, J.; Mirchi, A.; Giacomoni, M.; Kasprzyk, J.; Madani, K.; Ford, D.; Basdekas, L.","More integrated formal education and practice in water resources systems analysis","Journal of Water Resources Planning and Management","","07339496","10.1061/(ASCE)WR.1943-5452.0000847","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030159184&doi=10.1061%2f%28ASCE%29WR.1943-5452.0000847&partnerID=40&md5=ce5e3a2e29b4f41b2cf324db289379c2","","2017","2018-01-19 23:07:51","2018-01-19 23:07:51","","","","12","143","","","","","","","","","","English","","","","","","","","","","","systems analysis; water resource; integrated approach; education; curriculum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PYF6ZTF9","journalArticle","2017","Creaco, E.; Walski, T.","Economic analysis of pressure control for leakage and pipe burst reduction","Journal of Water Resources Planning and Management","","07339496","10.1061/(ASCE)WR.1943-5452.0000846","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031127242&doi=10.1061%2f%28ASCE%29WR.1943-5452.0000846&partnerID=40&md5=a96094e163e96ea16045afcb683c7eb0","This paper presents an economic analysis of pressure control solutions for leakage and pipe burst reduction. In detail, it explores the operating conditions under which the installation of conventional mechanical pressure reducing valves (PRVs) or remotely real-time controlled (RTC) valves are cost effective compared to a scenario with no control. For a range of system sizes, hydraulic extended period simulations and empirical formulas were used to estimate leakage rates and pipe bursts, respectively, in numerous operational scenarios, including different precontrol leakage levels and demand patterns, the absence of pressure control, and the installation of a PRVor RTC valve. The total cost of the controlled system, including the installation cost of the control device, the flow-dependent operation and maintenance (O & M) cost, and the pipe burst repair cost over the planning horizon, was compared with the water-related O & M and pipe burst repair costs of the uncontrolled system. The results pointed out that no pressure controls are needed if leakage and the variable O & M cost of water are low. When these variables are high, remote RTC is attractive, especially when the demand pattern is peaked and the system is large. For more moderate cost and leakage, a conventional PRV may be better than RTC, especially in small systems and for relatively smooth demand patterns. © 2017 American Society of Civil Engineers.","2017","2018-01-19 23:08:00","2018-01-19 23:08:00","","","","12","143","","","","","","","","","","English","","","","","","","","","","","distribution system; Water supply systems; pipe; Cost effectiveness; economic analysis; Real time control; Costs; Water distributions; leakage; Economic analysis; Extended period simulations; installation; Leakage reduction; Mechanical pressure; Operation and maintenance; Operational scenario; Pressure control; pressure field; Pressure reducing valves; Pressure regulators; Repair; Suid herpesvirus 1; Uncontrolled systems; Valves (mechanical)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D9JRPS7H","journalArticle","2017","Leta, O.T.; El-Kadi, A.I.; Dulai, H.","Implications of climate change on water budgets and reservoir water harvesting of Nuuanu area watersheds, Oahu, Hawaii","Journal of Water Resources Planning and Management","","07339496","10.1061/(ASCE)WR.1943-5452.0000839","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028537752&doi=10.1061%2f%28ASCE%29WR.1943-5452.0000839&partnerID=40&md5=081cec65f47b24e0f5ef8c7cfdb20d34","Assessing freshwater availability under changing climate and land-use conditions is critical for tropical islands, where small watershed sizes and unique hydrological features mean that freshwater resources are very sensitive to these changes. The objective of this study is to assess the impact of climate change on the water budgets of the Nuuanu area watersheds (NAW), Oahu, Hawaii, and most importantly, on the potential of water harvesting from Nuuanu Reservoir 4 (NR4). The harvest approach concerns water diversion from the reservoir for artificially supplementing groundwater recharge through injection into the subsurface. Following calibration and validation at multiple streamflow gauging stations across the watershed, the soil and water assessment tool (SWAT) model was applied to assess current and future water availability in the NR4. Multiple statistical evaluation criteria were used to demonstrate that SWAT adequately reproduced the observed daily streamflow hydrographs at all stations. Climate change analyses used the representative concentration pathways (RCP) 4.5 and 8.5 scenarios. The reported analysis suggests that the water-budget components of the NAW will generally be adversely affected by climate change. Compared to the baseline of 35 years, the amount of water available from the NR4 for harvesting will decrease by as much as 27%, and the corresponding outflow values will decrease by as much as 37%. Despite future temperature increases, the actual monthly watershed-scale evapotranspiration will decrease because of the overall decrease in rainfall and soil-moisture availability. Rainfall has the dominant control over the magnitude of water-budget components and harvesting compared with temperature and solar radiation. This study presents a blueprint for surface-water-harvesting scenarios, which may become a necessity across the Pacific and other islands in the future. © 2017 American Society of Civil Engineers.","2017","2018-01-19 23:08:02","2018-01-19 23:08:02","","","","11","143","","","","","","","","","","English","","","","","","","","","","","Climate change; Rain; Runoff; Floods; Flood control; Groundwater; Land use; Water; Watersheds; Soil and water assessment tool; Water supply; Water conservation; Budget control; Soil moisture; Soils; Landforms; Surface waters; Calibration and validations; Harvesting; Reservoirs (water); Ground water recharge; Stream flow; Recharging (underground waters); Water budget components; Water injection; Hawaii; Soil moisture availability; Statistical evaluation; Water harvesting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EK57RFMJ","journalArticle","2017","Grubert, E.; Cook, M.","Communication science for science communication: Water management for oil and natural gas extraction","Journal of Water Resources Planning and Management","","07339496","10.1061/(ASCE) WR.1943-5452.0000842","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028710509&doi=10.1061%2f%28ASCE%29+WR.1943-5452.0000842&partnerID=40&md5=6d5fa3c46006270c9298a9987ec0e1b3","Water management for oil and natural gas extraction in the United States has become a topic of public interest and concern. This societal relevance simultaneously heightens the need for rigorous performance and dissemination of scientific work and invites caution from experts who are communicating within what is likely a politicized public conversation. This paper uses interviews to investigate experts' current practices and comfort with communicating about water use for oil and natural gas. Participants cite face-to-face interactions and trust-based relationships as important in their interactions, which is consistent with research about effective communication. However, few participants highlight techniques specific to communicating about water as it relates to oil and gas or about controversial issues generally. Participants also rarely use communication science related to objective setting, framing, and measuring success for improvement, likely in part because of a lack of evidence-based training. In many cases, interviewees expressed attitudes consistent with the deficit model of scientific communication, which holds that presentation of scientific facts will change public opinion. This model has been shown to be relatively ineffective. This paper highlights the need for careful communication and evidence-based opportunities for improvement, including a suggestion that professional societies host communication training and coaching sessions. © 2017 American Society of Civil Engineers.","2017","2018-01-19 23:08:03","2018-01-19 23:08:03","","","","11","143","","","","","","","","","","English","","","","","","","","","","","United States; Water management; water management; Extraction; extraction method; Water; water use; Data mining; Gases; hydraulic fracturing; Hydraulic fracturing; natural gas; Natural gas; Social aspects; gas production; oil production; Best practices; communication; Communication training; Effective communication; Face-to-face interaction; Gallium; Objective setting; Oil and natural gas; Science communications; Scientific communication","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WAUEQJDK","journalArticle","2017","Abdallah, M.; Kapelan, Z.","Iterative Extended Lexicographic Goal Programming Method for Fast and Optimal Pump Scheduling in Water Distribution Networks","Journal of Water Resources Planning and Management","","07339496","10.1061/(ASCE)WR.1943-5452.0000843","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028642625&doi=10.1061%2f%28ASCE%29WR.1943-5452.0000843&partnerID=40&md5=4a3314c8806bb8094cae354739485e8e","Pump scheduling in water distribution networks is important, especially with current high energy prices. A good pump schedule is one that reduces pump energy and maintenance costs without worsening the overall system performance. Because of the nonlinearity of the hydraulic energy balance equations and the complexity of water distribution networks, pump scheduling problems cannot be easily solved by hand, especially in the general case of a network with multiple tanks and pumps/pumping stations. A number of approaches exist in the literature addressing the trade-off between effectiveness (i.e., optimality of schedules generated) and computational efficiency, but there seems to be no ideal solution. In this paper, an effective and efficient optimization method, the iterative extended lexicographic goal programming (iELGP), is developed to solve a least-cost pump scheduling problem. The method is tested on two multitank networks. The results obtained demonstrate that by using the iELGP method, an optimal pump schedule can be obtained with high computational efficiency which makes the method suitable for real-time application. © 2017 American Society of Civil Engineers.","2017","2018-01-19 23:08:05","2018-01-19 23:08:05","","","","11","143","","","","","","","","","","English","","","","","","","","","","","optimization; water supply; Multiobjective optimization; Economic and social effects; Water distribution systems; Water supply systems; numerical method; Computational efficiency; Scheduling; Costs; Iterative methods; Pumps; Optimization method; Real-time application; Water distribution networks; High energy prices; Hydraulic energy; Ideal solutions; Lexicographic goal programming; Linear programming; Maintenance cost","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
