"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"TYJAJDKY","journalArticle","2017","Pai, H.; Villamizar, S.R.; Harmon, T.C.","Synoptic Sampling to Determine Distributed Groundwater-Surface Water Nitrate Loading and Removal Potential Along a Lowland River","Water Resources Research","","00431397","10.1002/2017WR020677","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034767885&doi=10.1002%2f2017WR020677&partnerID=40&md5=bf3bd426e67511b071aa9d330634578e","Delineating pollutant reactive transport pathways that connect local land use patterns to surface water is an important goal. This work illustrates high-resolution river mapping of salinity r specific conductance (SC) and nitrate (NO- 3) as a potential part of achieving this goal. We observed longitudinal river SC and nitrate distributions using high-resolution synoptic in situ sensing along the lower Merced River (38 river km) in Central California (USA) from 2010 to 2012. We calibrated a distributed groundwater-surface water (GW-SW) discharge model for a conservative solute using 13 synoptic SC sampling events at flows ranging from 1.3 to 31.6 m3 s−1. Nitrogen loads ranged from 0.3 to 1.6 kg N d−1 and were greater following an extended high flow period during a wet winter. Applying the distributed GW-SW discharge estimates to a simplistic reactive nitrate transport model, the model reproduced observed river nitrate distribution well (RRMSE = 5–21%), with dimensionless watershed-averaged nitrate removal (kt) ranging from 0 to 0.43. Estimates were uncertain due to GW nitrate data variability, but the resulting range was consistent with prior removal estimates. At the segment scale, estimated GW-SW nitrate loading ranged from 0 to 17 g NO- 3 s−1 km−1. Local loading peaked near the middle of the study reach, a location that coincides with a shallow clay lens and with confined animal feed operations in close proximity to the river. Overall, the results demonstrate the potential for high-resolution synoptic monitoring to support GW-SW modeling efforts aimed at understanding and managing nonpoint source pollution. © 2017. American Geophysical Union. All Rights Reserved.","2017","2018-01-19 23:08:03","2018-01-19 23:08:03","","9479-9495","","11","53","","","","","","","","","","English","","","","","","","","","","","Rivers; Pollution; Groundwater; Land use; nitrate; Water pollution; pollutant transport; Nitrates; pollutant removal; Surface waters; Reactive transport; Animalia; River pollution; Nitrogen removal; lowland environment; groundwater-surface water interaction; Non-point source pollution; Specific conductance; Loading; eutrophication; Animal feed operation; Discharge modeling; Groundwater-surface waters; Nitrate distribution; river pollution; Synoptic monitoring","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AITBSWPB","journalArticle","2017","Ginn, T.R.; Schreyer, L.G.; Sanchez-Vila, X.; Nassar, M.K.; Ali, A.A.; Kräutle, S.","Revisiting the Analytical Solution Approach to Mixing-Limited Equilibrium Multicomponent Reactive Transport Using Mixing Ratios: Identification of Basis, Fixing an Error, and Dealing With Multiple Minerals","Water Resources Research","","00431397","10.1002/2017WR020759","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033781342&doi=10.1002%2f2017WR020759&partnerID=40&md5=a4a71a010ed61fa190d490c0fa5dafcb","Multicomponent reactive transport involves the solution of a system of nonlinear coupled partial differential equations. A number of methods have been developed to simplify the problem. In the case where all reactions are in instantaneous equilibrium and the mineral assemblage is constant in both space and time, de Simoni et al. (2007) provide an analytical solution that separates transport of aqueous components and minerals using scalar dissipation of “mixing ratios” between a number of boundary/initial solutions. In this approach, aqueous speciation is solved in conventional terms of primary and secondary species, and the mineral dissolution/precipitation rate is given in terms of the scalar dissipation and a chemical transformation term, both involving the secondary species associated with the mineral reaction. However, the identification of the secondary species is nonunique, and so it is not clear how to use the approach in general, a problem that is keenly manifest in the case of multiple minerals which may share aqueous ions. We address this problem by developing an approach to identify the secondary species required in the presence of one or multiple minerals. We also remedy a significant error in the de Simoni et al. (2007) approach. The result is a fixed and extended de Simoni et al. (2007) approach that allows construction of analytical solutions to multicomponent equilibrium reactive transport problems in which the mineral assemblage does not change in space or time and where the transport is described by closed-form solutions of the mixing ratios. © 2017. American Geophysical Union. All Rights Reserved.","2017","2018-01-19 23:08:04","2018-01-19 23:08:04","","9941-9959","","11","53","","","","","","","","","","English","","","","","","","","","","","spatiotemporal analysis; error analysis; Chemical speciation; reactive transport; Reactive transport; Reactive transport problems; Upscaling; Mixing; Nonlinear equations; transformation; dissolution; precipitation (chemistry); Aluminum; aqueous solution; Chemical transformations; Coupled partial differential equations; Equilibria; Minerals; mixing ratio; Multicomponent equilibrium; Multicomponent reactive transports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YXU85V6Y","journalArticle","2017","Huang, Y.; Liu, H.; Hinkel, K.; Yu, B.; Beck, R.; Wu, J.","Analysis of Thermal Structure of Arctic Lakes at Local and Regional Scales Using in Situ and Multidate Landsat-8 Data","Water Resources Research","","00431397","10.1002/2017WR021335","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038913020&doi=10.1002%2f2017WR021335&partnerID=40&md5=2ca08822747d1081134e529b64cc518d","The Arctic coastal plain is covered with numerous thermokarst lakes. These lakes are closely linked to climate and environmental change through their heat and water budgets. We examined the intralake thermal structure at the local scale and investigated the water temperature pattern of lakes at the regional scale by utilizing extensive in situ measurements and multidate Landsat-8 remote sensing data. Our analysis indicates that the lake skin temperatures derived from satellite thermal sensors during most of the ice-free summer period effectively represent the lake bulk temperature because the lakes are typically well-mixed and without significant vertical stratification. With the relatively high-resolution Landsat-8 thermal data, we were able to quantitatively examine intralake lateral temperature differences and gradients in relation to geographical location, topography, meteorological factors, and lake morphometry for the first time. Our results suggest that wind speed and direction not only control the vertical stratification but also influences lateral differences and gradients of lake surface temperature. Wind can considerably reduce the intralake temperature gradient. Interestingly, we found that geographical location (latitude, longitude, distance to the ocean) and lake morphometry (surface size, depth, volume) not only control lake temperature regionally but also affect the lateral temperature gradient and homogeneity level within each individual lake. For the Arctic coastal plain, at regional scales, inland and southern lakes tend to have larger horizontal temperature differences and gradients compared to coastal and northern lakes. At local scales, large and shallow lakes tend to have large lateral temperature differences relative to small and deep lakes. © 2017. American Geophysical Union. All Rights Reserved.","2017","2018-01-19 23:08:05","2018-01-19 23:08:05","","9642-9658","","11","53","","","","","","","","","","English","","","","","","","","","","","Climate change; data set; remote sensing; climate change; Spatial patterns; Temperature; Wind; Surface properties; Remote sensing; in situ measurement; Budget control; morphometry; Lakes; water temperature; temperature gradient; Landsat; lake; Atmospheric temperature; stratification; climate conditions; satellite sensor; temperature profile; environmental change; Thermal gradients; regional pattern; Arctic; inhomogeneity; Lake surface temperature; Climatic factors; coastal plain; Lake morphometry; LANDSAT; thermokarst","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H7WVYHRF","journalArticle","2017","van Osnabrugge, B.; Weerts, A.H.; Uijlenhoet, R.","genRE: A Method to Extend Gridded Precipitation Climatology Data Sets in Near Real-Time for Hydrological Forecasting Purposes","Water Resources Research","","00431397","10.1002/2017WR021201","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034083429&doi=10.1002%2f2017WR021201&partnerID=40&md5=b2c0a478c37314c975da4765b1705966","To enable operational flood forecasting and drought monitoring, reliable and consistent methods for precipitation interpolation are needed. Such methods need to deal with the deficiencies of sparse operational real-time data compared to quality-controlled offline data sources used in historical analyses. In particular, often only a fraction of the measurement network reports in near real-time. For this purpose, we present an interpolation method, generalized REGNIE (genRE), which makes use of climatological monthly background grids derived from existing gridded precipitation climatology data sets. We show how genRE can be used to mimic and extend climatological precipitation data sets in near real-time using (sparse) real-time measurement networks in the Rhine basin upstream of the Netherlands (approximately 160,000 km2). In the process, we create a 1.2 × 1.2 km transnational gridded hourly precipitation data set for the Rhine basin. Precipitation gauge data are collected, spatially interpolated for the period 1996–2015 with genRE and inverse-distance squared weighting (IDW), and then evaluated on the yearly and daily time scale against the HYRAS and EOBS climatological data sets. Hourly fields are compared qualitatively with RADOLAN radar-based precipitation estimates. Two sources of uncertainty are evaluated: station density and the impact of different background grids (HYRAS versus EOBS). The results show that the genRE method successfully mimics climatological precipitation data sets (HYRAS/EOBS) over daily, monthly, and yearly time frames. We conclude that genRE is a good interpolation method of choice for real-time operational use. genRE has the largest added value over IDW for cases with a low real-time station density and a high-resolution background grid. © 2017. The Authors.","2017","2018-01-19 23:08:07","2018-01-19 23:08:07","","9284-9303","","11","53","","","","","","","","","","English","","","","","","","","","","","drought; Climatology; data set; radar; Floods; Flood control; Forecasting; Netherlands; real time; Quality control; Interpolation; precipitation assessment; precipitation (climatology); flood forecasting; hydrological response; raingauge; Hydrological forecasting; Meteorological instruments; Inverse problems; Precipitation data; Generalized REGNIE; Real time; Rhine basin; Rhine Basin; Scales (weighing instruments); Transnational","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N49NXLU9","journalArticle","2017","Kordilla, J.; Noffz, T.; Dentz, M.; Geyer, T.; Tartakovsky, A.M.; Du, E.; Cai, X.; Sun, Z.; Minsker, B.","Exploring the Role of Social Media and Individual Behaviors in Flood Evacuation Processes: An Agent-Based Modeling Approach","Water Resources Research","","00431397","10.1002/2017WR021192","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038938652&doi=10.1002%2f2017WR021192&partnerID=40&md5=7de5c5c69692804615d5364beb99f833","Flood warnings from various information sources are important for individuals to make evacuation decisions during a flood event. In this study, we develop a general opinion dynamics model to simulate how individuals update their flood hazard awareness when exposed to multiple information sources, including global broadcast, social media, and observations of neighbors' actions. The opinion dynamics model is coupled with a traffic model to simulate the evacuation processes of a residential community with a given transportation network. Through various scenarios, we investigate how social media affect the opinion dynamics and evacuation processes. We find that stronger social media can make evacuation processes more sensitive to the change of global broadcast and neighbor observations, and thus, impose larger uncertainty on evacuation rates (i.e., a large range of evacuation rates corresponding to sources of information). For instance, evacuation rates are lower when social media become more influential and individuals have less trust in global broadcast. Stubborn individuals can significantly affect the opinion dynamics and reduce evacuation rates. In addition, evacuation rates respond to the percentage of stubborn agents in a nonlinear manner, i.e., above a threshold, the impact of stubborn agents will be intensified by stronger social media. These results highlight the role of social media in flood evacuation processes and the need to monitor social media so that misinformation can be corrected in a timely manner. The joint impacts of social media, quality of flood warnings, and transportation capacity on evacuation rates are also discussed. © 2017. American Geophysical Union. All Rights Reserved.","2017","2018-01-19 23:08:12","2018-01-19 23:08:12","","9164-9180","","11","53","","Water Resources Research","","","","","","","","English","","","","","","","","","","","decision analysis; Social media; Floods; numerical model; Autonomous agents; Computational methods; Software agents; Economic and social effects; Agent-based model; Social networking (online); flood; hazard assessment; Dynamics; exploration; Emergency traffic control; social media; individual variation; Information sources; Opinion dynamics; public attitude; Residential communities; Sources of informations; Transportation capacity; transportation mode; Transportation network","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YCWJGHQF","journalArticle","2017","Yang, S.; Paik, K.; McGrath, G.S.; Urich, C.; Krueger, E.; Kumar, P.; Rao, P.S.C.","Functional Topology of Evolving Urban Drainage Networks","Water Resources Research","","00431397","10.1002/2017WR021555","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033599648&doi=10.1002%2f2017WR021555&partnerID=40&md5=0964432b2ec69edf0311b8c7a4391366","We investigated the scaling and topology of engineered urban drainage networks (UDNs) in two cities, and further examined UDN evolution over decades. UDN scaling was analyzed using two power law scaling characteristics widely employed for river networks: (1) Hack's law of length (L)-area (A) [L α Ah] and (2) exceedance probability distribution of upstream contributing area (δ) [P(A≥δ) aδ-ε]. For the smallest UDNs (&lt;2 km2), length-area scales linearly (h ∼ 1), but power law scaling (h ∼ 0.6) emerges as the UDNs grow. While P(A≥δ) plots for river networks are abruptly truncated, those for UDNs display exponential tempering [P(A≥δ)=aδ-ε exp (-cδ)]. The tempering parameter c decreases as the UDNs grow, implying that the distribution evolves in time to resemble those for river networks. However, the power law exponent ɛ for large UDNs tends to be greater than the range reported for river networks. Differences in generative processes and engineering design constraints contribute to observed differences in the evolution of UDNs and river networks, including subnet heterogeneity and nonrandom branching. © 2017. American Geophysical Union. All Rights Reserved.","2017","2018-01-19 23:08:18","2018-01-19 23:08:18","","8966-8979","","11","53","","","","","","","","","","English","","","","","","","","","","","probability; Rivers; parameterization; heterogeneity; Probability distributions; drainage network; infrastructure; urban drainage; river system; Self organizations; River network; Drainage; Topology; Fractals; topology; functional role; Infrastructure; Lattice vibrations; power law; Self-similarities; Tempering; Urban drainage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5BSH66LL","journalArticle","2017","Kumar, S.V.; Wang, S.; Mocko, D.M.; Peters-Lidard, C.D.; Xia, Y.; Zhuang, L.; Hassanizadeh, S.M.; Qin, C.-Z.; de Waal, A.","Experimental Investigation of Hysteretic Dynamic Capillarity Effect in Unsaturated Flow","Water Resources Research","","00431397","10.1002/2017WR020895","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038914344&doi=10.1002%2f2017WR020895&partnerID=40&md5=dc6c93af6fbc1758ec1d91744ba96d21","The difference between average pressures of two immiscible fluids is commonly assumed to be the same as macroscopic capillary pressure, which is considered to be a function of saturation only. However, under transient conditions, a dependence of this pressure difference on the time rate of saturation change has been observed by many researchers. This is commonly referred to as dynamic capillarity effect. As a first-order approximation, the dynamic term is assumed to be linearly dependent on the time rate of change of saturation, through a material coefficient denoted by τ. In this study, a series of laboratory experiments were carried out to quantify the dynamic capillarity effect in an unsaturated sandy soil. Primary, main, and scanning drainage experiments, under both static and dynamic conditions, were performed on a sandy soil in a small cell. The value of the dynamic capillarity coefficient τ was calculated from the air-water pressure differences and average saturation values during static and dynamic drainage experiments. We found a dependence of τ on saturation, which showed a similar trend for all drainage conditions. However, at any given saturation, the value of τ for primary drainage was larger than the value for main drainage and that was in turn larger than the value for scanning drainage. Each data set was fit a simple log-linear equation, with different values of fitting parameters. This nonuniqueness of the relationship between τ and saturation and possible causes is discussed. © 2017. The Authors.","2017","2018-01-19 23:08:24","2018-01-19 23:08:24","","9078-9088","","11","53","","Water Resources Research","","","","","","","","English","","","","","","","","","","","water; data set; experimental study; sandy soil; Air; Drainage experiments; drainage; unsaturated flow; Laboratory experiments; capillarity; Sand; saturation; Hysteresis; Capillarity; Capillary flow; capillary pressure; Capillary tubes; air; Experimental investigations; First-order approximations; hysteresis; immiscible fluid; Material coefficients; Pressure differences; pressure gradient; Static and dynamic conditions; Unsaturated sandy soils","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9RC9VYU5","journalArticle","2017","Lute, A.C.; Luce, C.H.","Are Model Transferability And Complexity Antithetical? Insights From Validation of a Variable-Complexity Empirical Snow Model in Space and Time","Water Resources Research","","00431397","10.1002/2017WR020752","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038946839&doi=10.1002%2f2017WR020752&partnerID=40&md5=99f83f4ff5b24580ec65322ceb0bcd14","The related challenges of predictions in ungauged basins and predictions in ungauged climates point to the need to develop environmental models that are transferable across both space and time. Hydrologic modeling has historically focused on modelling one or only a few basins using highly parameterized conceptual or physically based models. However, model parameters and structures have been shown to change significantly when calibrated to new basins or time periods, suggesting that model complexity and model transferability may be antithetical. Empirical space-for-time models provide a framework within which to assess model transferability and any tradeoff with model complexity. Using 497 SNO℡ sites in the western U.S., we develop space-for-time models of April 1 SWE and Snow Residence Time based on mean winter temperature and cumulative winter precipitation. The transferability of the models to new conditions (in both space and time) is assessed using non-random cross-validation tests with consideration of the influence of model complexity on transferability. As others have noted, the algorithmic empirical models transfer best when minimal extrapolation in input variables is required. Temporal split-sample validations use pseudoreplicated samples, resulting in the selection of overly complex models, which has implications for the design of hydrologic model validation tests. Finally, we show that low to moderate complexity models transfer most successfully to new conditions in space and time, providing empirical confirmation of the parsimony principal. Published 2017. This article is a U.S. Government work and is in the public domain in the USA.","2017","2018-01-19 23:08:31","2018-01-19 23:08:31","","8825-8850","","11","53","","","","","","","","","","English","","","","","","","","","","","Snow; United States; trade-off; hydrological modeling; parameterization; Climate models; spatiotemporal analysis; calibration; model validation; empirical analysis; complexity; Cross validation; parsimony analysis; snow; Model validation; parsimony; pseudoreplication; Snow models","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WGH5UYYW","journalArticle","2017","Luce, C.H.; Tonina, D.; Applebee, R.; DeWeese, T.","Was That Assumption Necessary? Reconsidering Boundary Conditions for Analytical Solutions to Estimate Streambed Fluxes","Water Resources Research","","00431397","10.1002/2017WR020618","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038927928&doi=10.1002%2f2017WR020618&partnerID=40&md5=596b088e7c76fa7e5d295f477357c6bc","Two common refrains about using the one-dimensional advection diffusion equation to estimate fluid fluxes and thermal conductivity from temperature time series in streambeds are that the solution assumes that (1) the surface boundary condition is a sine wave or nearly so, and (2) there is no gradient in mean temperature with depth. Although the mathematical posing of the problem in the original solution to the problem might lead one to believe these constraints exist, the perception that they are a source of error is a fallacy. Here we develop a mathematical proof demonstrating the equivalence of the solution as developed based on an arbitrary (Fourier integral) surface temperature forcing when evaluated at a single given frequency versus that derived considering a single frequency from the beginning. The implication is that any single frequency can be used in the frequency-domain solutions to estimate thermal diffusivity and 1-D fluid flux in streambeds, even if the forcing has multiple frequencies. This means that diurnal variations with asymmetric shapes or gradients in the mean temperature with depth are not actually assumptions, and deviations from them should not cause errors in estimates. Given this clarification, we further explore the potential for using information at multiple frequencies to augment the information derived from time series of temperature. © 2017. All Rights Reserved. This article has been contributed to by US Government employees and their work is in the public domain in the USA.","2017","2018-01-19 23:08:37","2018-01-19 23:08:37","","9771-9790","","11","53","","","","","","","","","","English","","","","","","","","","","","Time series; hydrology; Estimation; Groundwater; numerical method; analytical method; one-dimensional modeling; time series; Surface waters; error analysis; Errors; diurnal variation; boundary condition; theoretical study; flux measurement; groundwater-surface water interaction; Surface temperatures; stream bed; temperature profile; Advection; advection-diffusion equation; Advection-diffusion equation; Ground water-surface water interactions; Fourier transform; Surface boundary conditions; Advection - Diffusion; Boundary conditions; Diffusion in liquids; Fourier analysis; Frequency domain analysis; Hyporheic; hyporheic zone; Integral equations; Mathematical proof; Multiple frequency; thermal conductivity; Thermal conductivity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KHJE9YJ9","journalArticle","2017","De Simone, S.; Carrera, J.","Analytical Solutions to Coupled HM Problems to Highlight the Nonlocal Nature of Aquifer Storage","Water Resources Research","","00431397","10.1002/2017WR020824","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035109692&doi=10.1002%2f2017WR020824&partnerID=40&md5=976e36c9da19b93738d1caa1923a03fe","Specific storage reflects the volumetric deformation capacity of permeable media. Classical groundwater hydrology equates elastic storage to medium compressibility (plus fluid compressibility times porosity). However, it is unclear if storage behavior can be represented by a single parameter. Hydraulic gradients act as body forces that push the medium in the direction of flow causing it to deform instantaneously everywhere, i.e., even in regions where pressure would not have changed according to conventional fluid flow. Therefore, actual deformation depends not only on the mechanical properties of the medium but also on aquifer geometry and on surrounding strata, which act like constraints to displacements. Here we discuss the question and highlight the nonlocal nature of storage (i.e., the volume of water released at a point depends on the poroelastic response over the whole aquifer). Proper evaluation of transient pressure and water release from storage requires acknowledging the hydromechanical coupling, which generally involves the use of numerical methods. We propose analytical solutions to the HM problem of fluid injection (extraction) into finite aquifers with one-dimensional or cylindrical geometries. We find that pressure response is much faster (virtually instantaneous) and larger than expected from traditional purely hydraulic solutions when aquifer deformation is restrained, whereas the pressure response is reversed (i.e., pressure drop in response to injection) when the permeable medium is free to deform. These findings suggest that accounting for hydromechanical coupling may be required when hydraulic testing is performed in low permeability media, which is becoming increasingly demanded for energy-related applications. © 2017. American Geophysical Union. All Rights Reserved.","2017","2018-01-19 23:08:43","2018-01-19 23:08:43","","9580-9599","","11","53","","","","","","","","","","English","","","","","","","","","","","groundwater; Hydrogeology; hydrogeology; aquifer; Aquifers; Groundwater; Groundwater resources; numerical method; analytical method; Numerical methods; Flow of fluids; geometry; fluid flow; storage; hydraulics; Hydraulic gradients; Ground-water hydrology; compressibility; Compressibility; Cylinders (shapes); Cylindrical geometry; deformation; Deformation; displacement; Fluid compressibility; Hydraulic solutions; Hydromechanical coupling; mechanical property; pressure drop; Transient pressures; Volumetric deformation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
