dur_qualtrics_sec,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q9_3_TEXT,Q9_5_TEXT,rep_avail,Q10,Q11,Q12,Q13,Q14,Q15
1548,Reviewer2,Water Resources Research,10.1002/2015WR017548,"Lin, L.-F.; Ebtehaj, A.M.; Wang, J.; Bras, R.L. (2017) Soil moisture background error covariance and data assimilation in a coupled land-atmosphere model. Water Resources Research. 53, 1309-1335.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Input data,Common file format /instructions to open","External links provided to most of the model input data (soil moisture, NCAR, SMOS, SCAN, NLDAS). WRF simulation outputs provided as NetCDF files. But no model processing files for cost or errors.",,,,,,,25,,,
230,Reviewer4,Water Resources Research,10.1002/2015WR018424,"Wood, C.; Cook, P.G.; Harrington, G.A.; Knapton, A. (2017) Constraining spatial variability in recharge and discharge in an arid environment through modeling carbon-14 with improved boundary conditions. Water Resources Research. 53, 142-157.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc),Author Request","Input data,Common file format /instructions to open",Field data included as excel spreadsheet,,,,,,,,,,
178,Reviewer3,Water Resources Research,10.1002/2016WR018865,"Ding, B.; Yang, K.; Yang, W.; He, X.; Chen, Y.; Lazhu; Guo, X.; Wang, L.; Wu, H.; Yao, T. (2017) Development of a Water and Enthalpy Budget-based Glacier mass balance Model (WEB-GM) and its preliminary validation. Water Resources Research. 53, 3146-3178.","Some or all applicable (available, third party request, author request)",Author Request,,,,,,,,,,,,
232,Reviewer1,Water Resources Research,10.1002/2016WR018906,"Allen, K.J.; Nichols, S.C.; Evans, R.; Allie, S.; Carson, G.; Ling, F.; Cook, E.R.; Lee, G.; Baker, P.J. (2017) A 277 year cool season dam inflow reconstruction for Tasmania, southeastern Australia. Water Resources Research. 53, 400-414.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)",Input data,Dam inﬂow data for this study are available from Hydro Tasmania andthe inﬂow reconstruction can beobtained from the correspondingauthor. Tree-ring data used in this reconstruction are archived at the International Tree Ring Data Bank(ITRDB: www.ncdc.noaa.gov.,,,,,,,5,,,
1639,Reviewer4,Water Resources Research,10.1002/2016WR018934,"Bao, C.; Li, L.; Shi, Y.; Duffy, C. (2017) Understanding watershed hydrogeochemistry: 1. Development of RT-Flux-PIHM. Water Resources Research. 53, 2328-2345.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc),Author Request",Input data,"Data available, but source code and input files available upon request",,,,,,,,,,
1929,Reviewer3,Water Resources Research,10.1002/2016WR018935,"Li, L.; Bao, C.; Sullivan, P.L.; Brantley, S.; Shi, Y.; Duffy, C. (2017) Understanding watershed hydrogeochemistry: 2. Synchronized hydrological and geochemical processes drive stream chemostatic behavior. Water Resources Research. 53, 2346-2367.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc),Author Request",Input data,,,,,,,,,,,Code/input files available upon request from Authors
232,Reviewer4,Water Resources Research,10.1002/2016WR019187,"Gitto, A.B.; Venditti, J.G.; Kostaschuk, R.; Church, M. (2017) Representative point-integrated suspended sediment sampling in rivers. Water Resources Research. 53, 2956-2971.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Input data,Materials linked by unique and persistent identifiers,Metadata to describe the code,Common file format /instructions to open",CSV files and a legend file. Paper says analysis in Matlab - no matlab code provided,,,,,,,,,,
336,Reviewer1,Water Resources Research,10.1002/2016WR019191,"Kollet, S.; Sulis, M.; Maxwell, R.M.; Paniconi, C.; Putti, M.; Bertoldi, G.; Coon, E.T.; Cordano, E.; Endrizzi, S.; Kikinzon, E.; Mouche, E.; MÃ¼gler, C.; Park, Y.-J.; Refsgaard, J.C.; Stisen, S.; Sudicky, E. (2017) The integrated hydrologic model intercomparison project, IH-MIP2: A second set of benchmark results to diagnose integrated hydrology and feedbacks. Water Resources Research. 53, 867-890.","Some or all applicable (available, third party request, author request)",Author Request,,It took me 10 min looking into the paper data and code until I found this statement as part of the acknowledgement: The data used in the study can be obtained from the corresponding author ,,,,,,,10,,,
740,Reviewer2,Water Resources Research,10.1002/2016WR019276,"Svensson, C.; Hannaford, J.; Prosdocimi, I. (2017) Statistical distributions for monthly aggregations of precipitation and streamflow in drought indicator applications. Water Resources Research. 53, 999-1018.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)",Input data,"General link to site with flow data available. But does not provide specifics of which gages were used. Also, no code present that was used to process the data, determine goodness of fit, or plot results.",,,,,,,12,,,
428,Reviewer3,Water Resources Research,10.1002/2016WR019277,"Scudeler, C.; Paniconi, C.; Pasetto, D.; Putti, M. (2017) Examination of the seepage face boundary condition in subsurface and coupled surface/subsurface hydrological models. Water Resources Research. 53, 1799-1819.","Some or all applicable (available, third party request, author request)",Author Request,,,,,,,,,,,,
381,Reviewer3,Water Resources Research,10.1002/2016WR019445,"Wong, C.P.; Jiang, B.; Bohn, T.J.; Lee, K.N.; Lettenmaier, D.P.; Ma, D.; Ouyang, Z. (2017) Lake and wetland ecosystem services measuring water storage and local climate regulation. Water Resources Research. 53, 3197-3223.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc),Author Request",Input data,Not all input data is available free of cost,,,,,,,,,,
706,Reviewer2,Water Resources Research,10.1002/2016WR019449,"Cihan, A.; Birkholzer, J.; Trevisan, L.; Gonzalez-Nicolas, A.; Illangasekare, T. (2017) Investigation of representing hysteresis in macroscopic models of two-phase flow in porous media using intermediate scale experimental data. Water Resources Research. 53, 199-221.","Some or all applicable (available, third party request, author request)","Data available  only in article figures/tables/text,Author Request",,"Explained in the acknowledgements. Need lots of model simulation, optimization, and GMRES algorithm code",,,,,,,12,,,
321,Reviewer1,Water Resources Research,10.1002/2016WR019452,"Ding, W.; Zhang, C.; Cai, X.; Li, Y.; Zhou, H. (2017) Multiobjective hedging rules for flood water conservation. Water Resources Research. 53, 1963-1981.","Some or all applicable (available, third party request, author request)",Author Request,,"for providing the data, which are freely accessible in Excel format by contacting the corresponding author.",,,,,,,5,,,
288,Reviewer6,Water Resources Research,10.1002/2016WR019469,"Sanford, W.E.; Niel Plummer, L.; Casile, G.; Busenberg, E.; Nelms, D.L.; Schlosser, P. (2017) Using dual-domain advective-transport simulation to reconcile multiple-tracer ages and estimate dual-porosity transport parameters. Water Resources Research. 53, 5002-5016.","Some or all applicable (available, third party request, author request)","Data available  only in article figures/tables/text,Author Request",,,,,,,,,5,,,
70,Reviewer6,Water Resources Research,10.1002/2016WR019488,"Trauth, N.; Fleckenstein, J.H. (2017) Single discharge events increase reactive efficiency of the hyporheic zone. Water Resources Research. 53, 779-798.","Some or all applicable (available, third party request, author request)",Data available  only in article figures/tables/text,,,,,,,,,2,,,
272,Reviewer1,Water Resources Research,10.1002/2016WR019524,"Nordbotten, J.M. (2017) Analytical solutions for aquifer thermal energy storage. Water Resources Research. 53, 1354-1368.","Some or all applicable (available, third party request, author request)",Data available  only in article figures/tables/text,,"""All data used for this study are properly cited and referred to in the reference list""",,,,,,,10,,,
171,Reviewer4,Water Resources Research,10.1002/2016WR019553,"Frisbee, M.D.; Tolley, D.G.; Wilson, J.L. (2017) Field estimates of groundwater circulation depths in two mountainous watersheds in the western U.S. and the effect of deep circulation on solute concentrations in streamflow. Water Resources Research. 53, 2693-2715.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)","Input data,Common file format /instructions to open",Data provided in Masters thesis appendix as PDF,,,,,,,,,,
882,Reviewer2,Water Resources Research,10.1002/2016WR019558,"Woldegiorgis, B.T.; van Griensven, A.; Pereira, F.; Bauwens, W. (2017) A new unconditionally stable and consistent quasi-analytical in-stream water quality solution scheme for CSTR-based water quality simulators. Water Resources Research. 53, 4668-4690.","Some or all applicable (available, third party request, author request)",Data available  only in article figures/tables/text,,"None of the code for or results of the models (SWAT, Runge Kutta, or the new Unconditionally stable) is available. Nor the code used to process results and generate figures.",,,,,,,14,,,
348,Reviewer6,Water Resources Research,10.1002/2016WR019627,"Guo, D.; Westra, S.; Maier, H.R. (2017) Impact of evapotranspiration process representation on runoff projections from conceptual rainfall-runoff models. Water Resources Research. 53, 435-454.","Some or all applicable (available, third party request, author request)","Data available  only in article figures/tables/text,Author Request",,rainfall-runoff model that uses potential evapotranspiration to actual evapotranspiration,,,,,,,5,,,
2400,Reviewer1,Water Resources Research,10.1002/2016WR019634,"Foster, T.; Hope, R. (2017) Evaluating waterpoint sustainability and access implications of revenue collection approaches in rural Kenya. Water Resources Research. 53, 1473-1490.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)",Input data,"""Data supporting the conclusions can be found in the tables, references, and supporting information."" Although the some data is provided in the appendix in excel files, I dont now how they're related and how they could be used to produce the figures ",,,,,,,15,,,
171,Reviewer4,Water Resources Research,10.1002/2016WR019651,"Kurylyk, B.L.; Hayashi, M. (2017) Inferring hydraulic properties of alpine aquifers from the propagation of diurnal snowmelt signals. Water Resources Research. 53, 4271-4285.","Some or all applicable (available, third party request, author request)",Author Request,,,,,,,,,,,,
634,Reviewer1,Water Resources Research,10.1002/2016WR019665,"Bennett, J.P.; Haslauer, C.P.; Cirpka, O.A. (2017) The impact of sedimentary anisotropy on solute mixing in stacked scour-pool structures. Water Resources Research. 53, 2813-2832.","Some or all applicable (available, third party request, author request)",Author Request,,The source code for the models used in this study is available from the authors upon request,,,,,,,5,,,
8373,Reviewer3,Water Resources Research,10.1002/2016WR019691,"Guswa, A.J.; Hamel, P.; Dennedy-Frank, P.J. (2017) Potential effects of landscape change on water supplies in the presence of reservoir storage. Water Resources Research. 53, 2679-2692.","Some or all applicable (available, third party request, author request)","Some or all of data/model/code can be found online (GitHub/website/HydroShare etc) or as part of the article (tables,appendix, supplemental material, attachment etc)",Input data,,,,,,,,,,,
87,Reviewer4,Water Resources Research,10.1002/2016WR019707,"Weber, T.K.D.; Iden, S.C.; Durner, W. (2017) Unsaturated hydraulic properties of Sphagnum moss and peat reveal trimodal pore-size distributions. Water Resources Research. 53, 415-434.","Some or all applicable (available, third party request, author request)",Author Request,,,,,,,,,,,,
640,Reviewer5,Water Resources Research,10.1002/2016WR019727,"Muniruzzaman, M.; Rolle, M. (2017) Experimental investigation of the impact of compound-specific dispersion and electrostatic interactions on transient transport and solute breakthrough. Water Resources Research. 53, 1189-1209.",Not applicable - dataless paper/review paper,,,,,,,,,,5,,,
238,Reviewer1,Water Resources Research,10.1002/2016WR019746,"Yu, D.J.; Sangwan, N.; Sung, K.; Chen, X.; Merwade, V. (2017) Incorporating institutions and collective action into a sociohydrological model of flood resilience. Water Resources Research. 53, 1336-1353.","Some or all applicable (available, third party request, author request)",Third Party Request,,The Mongla tide gauge data can be accessed using the Bangladesh National Water Resources Databasemanaged under the Water ResourcesPlanning Organization (http://www.warpo.gov.bd/). A form must becompleted and sometimes the dataare not freely accessible. Other data used are listed in the references and supporting information sections,,,,,,,5,,,
86,Reviewer4,Water Resources Research,10.1002/2016WR019752,"Roy, T.; Serrat-Capdevila, A.; Gupta, H.; Valdes, J. (2017) A platform for probabilistic Multimodel and Multiproduct Streamflow Forecasting. Water Resources Research. 53, 376-399.","Some or all applicable (available, third party request, author request)",Author Request,,,,,,,,,,,,
420,Reviewer6,Water Resources Research,10.1002/2016WR019830,"Durner, W.; Iden, S.C.; von Unold, G. (2017) The integral suspension pressure method (ISP) for precise particle-size analysis by gravitational sedimentation. Water Resources Research. 53, 33-48.","Some or all applicable (available, third party request, author request)","Data available  only in article figures/tables/text,Author Request",,particle-size analysis method based on the pressure in the suspension at a selected depth,,,,,,,3,,,
