"Reviewer","index","DOI","URL","Citation","Journal"
"Reviewer1",1,"10.1016/j.envsoft.2017.07.018","https://doi.org/10.1016/j.envsoft.2017.07.018","Kerrou, J.; Deman, G.; Tacher, L.; Benabderrahmane, H.; Perrochet, P. (2017) Numerical and polynomial modelling to assess environmental and hydraulic impacts of the future geological radwaste repository in Meuse site (France). Environmental Modelling and Software. 97, 157-170.","Environmental Modelling and Software"
"Reviewer1",21,"10.1016/j.envsoft.2014.12.013","https://doi.org/10.1016/j.envsoft.2014.12.013","Holzworth, D.P.; Snow, V.; Janssen, S.; Athanasiadis, I.N.; Donatelli, M.; Hoogenboom, G.; White, J.W.; Thorburn, P. (2017) Agricultural production systems modelling and software: Current status and future prospects. Environmental Modelling and Software. 72, .","Environmental Modelling and Software"
"Reviewer1",25,"10.1016/j.envsoft.2017.06.053","https://doi.org/10.1016/j.envsoft.2017.06.053","Malard, J.J.; Inam, A.; Hassanzadeh, E.; Adamowski, J.; Tuy, H.A.; Melgar-Quiñonez, H. (2017) Development of a software tool for rapid, reproducible, and stakeholder-friendly dynamic coupling of system dynamics and physically-based models. Environmental Modelling and Software. 96, 410-420.","Environmental Modelling and Software"
"Reviewer1",39,"10.1016/j.envsoft.2017.07.010","https://doi.org/10.1016/j.envsoft.2017.07.010","Singer, A.; Gray, S.; Sadler, A.; Schmitt Olabisi, L.; Metta, K.; Wallace, R.; Lopez, M.C.; Introne, J.; Gorman, M.; Henderson, J. (2017) Translating community narratives into semi-quantitative models to understand the dynamics of socio-environmental crises. Environmental Modelling and Software. 97, 46-55.","Environmental Modelling and Software"
"Reviewer1",48,"10.1016/j.envsoft.2017.02.015","https://doi.org/10.1016/j.envsoft.2017.02.015","Waeytens, J.; Mahfoudhi, I.; Chabchoub, M.-A.; Chatellier, P. (2017) Adjoint-based numerical method using standard engineering software for the optimal placement of chlorine sensors in drinking water networks. Environmental Modelling and Software. 92, 229-238.","Environmental Modelling and Software"
"Reviewer1",82,"10.1016/j.envsoft.2017.08.005","https://doi.org/10.1016/j.envsoft.2017.08.005","Sattar, A.M.A.; Jasak, H.; Skuric, V. (2017) Three dimensional modeling of free surface flow and sediment transport with bed deformation using automatic mesh motion. Environmental Modelling and Software. 97, 303-317.","Environmental Modelling and Software"
"Reviewer1",89,"10.1016/j.envsoft.2017.08.011","https://doi.org/10.1016/j.envsoft.2017.08.011","Diez-Sierra, J.; del Jesus, M. (2017) A rainfall analysis and forecasting tool. Environmental Modelling and Software. 97, 243-258.","Environmental Modelling and Software"
"Reviewer1",97,"10.1016/j.envsoft.2017.07.002","https://doi.org/10.1016/j.envsoft.2017.07.002","Massoudieh, A.; Maghrebi, M.; Kamrani, B.; Nietch, C.; Tryby, M.; Aflaki, S.; Panguluri, S.; Nguyen, D.C.H.; Ascough, II, J.C.; Maier, H.R.; Dandy, G.C.; Andales, A.A. (2017) Optimization of irrigation scheduling using ant colony algorithms and an advanced cropping system model. Environmental Modelling and Software. 97, 32-45.","Environmental Modelling and Software"
"Reviewer1",130,"10.1016/j.envsoft.2017.01.019","https://doi.org/10.1016/j.envsoft.2017.01.019","Plucinski, M.P.; Sullivan, A.L.; Rucinski, C.J.; Prakash, M. (2017) Improving the reliability and utility of operational bushfire behaviour predictions in Australian vegetation. Environmental Modelling and Software. 91, 1-12.","Environmental Modelling and Software"
"Reviewer1",143,"10.1016/j.envsoft.2017.06.031","https://doi.org/10.1016/j.envsoft.2017.06.031","Miao, J.; Guan, Q.; Hu, S. (2017) pRPL + pGTIOL: The marriage of a parallel processing library and a parallel I/O library for big raster data. Environmental Modelling and Software. 96, 347-360.","Environmental Modelling and Software"
