"","x"
"1",7
"2",9
"3",12
"4",21
"5",22
"6",24
"7",25
"8",29
"9",30
"10",31
"11",32
"12",34
"13",39
"14",43
"15",48
"16",50
"17",59
"18",60
"19",61
"20",62
"21",70
"22",71
"23",75
"24",77
"25",80
"26",82
"27",85
"28",89
"29",91
"30",95
"31",98
"32",110
"33",111
"34",112
"35",113
"36",114
"37",118
"38",119
"39",123
"40",130
"41",142
"42",143
"43",158
"44",187
"45",188
"46",208
"47",213
"48",217
"49",226
"50",239
"51",240
"52",295
"53",355
"54",379
"55",384
"56",473
"57",500
"58",523
"59",578
"60",582
"61",618
"62",631
"63",638
"64",639
"65",649
"66",668
"67",718
"68",720
"69",735
"70",797
"71",816
"72",869
"73",872
"74",914
"75",918
"76",938
"77",960
"78",961
"79",973
"80",974
"81",1036
"82",1049
"83",1054
"84",1067
"85",1154
"86",1172
"87",1200
"88",1255
"89",1308
"90",1406
"91",1408
"92",1411
"93",1421
"94",1426
"95",1434
"96",1443
"97",1453
"98",1472
"99",1479
"100",1499
"101",1507
"102",1550
"103",1606
"104",1682
"105",1717
"106",1727
"107",1731
"108",1780
"109",1799
"110",1808
"111",1832
"112",1833
"113",1834
"114",1850
"115",1863
"116",1884
"117",1899
"118",1910
"119",1954
"120",1955
"121",1
"122",2
"123",53
"124",56
"125",73
"126",88
"127",93
"128",97
"129",149
"130",150
"131",155
"132",160
"133",176
"134",177
"135",209
"136",244
"137",249
"138",251
"139",267
"140",277
"141",280
"142",290
"143",299
"144",300
"145",301
"146",314
"147",315
"148",322
"149",338
"150",340
"151",341
"152",354
"153",373
"154",378
"155",386
"156",390
"157",396
"158",408
"159",417
"160",419
"161",426
"162",434
"163",441
"164",443
"165",454
"166",458
"167",478
"168",492
"169",503
"170",525
"171",529
"172",530
"173",536
"174",542
"175",548
"176",549
"177",550
"178",567
"179",568
"180",571
"181",573
"182",581
"183",584
"184",585
"185",588
"186",589
"187",592
"188",597
"189",601
"190",610
"191",617
"192",623
"193",624
"194",640
"195",645
"196",653
"197",657
"198",660
"199",666
"200",667
"201",701
"202",719
"203",740
"204",745
"205",756
"206",762
"207",764
"208",767
"209",778
"210",782
"211",785
"212",794
"213",796
"214",806
"215",813
"216",814
"217",815
"218",836
"219",843
"220",859
"221",861
"222",877
"223",880
"224",896
"225",932
"226",937
"227",943
"228",968
"229",971
"230",976
"231",985
"232",991
"233",992
"234",996
"235",1011
"236",1015
"237",1026
"238",1028
"239",1043
"240",1048
"241",1058
"242",1062
"243",1069
"244",1075
"245",1087
"246",1094
"247",1104
"248",1112
"249",1114
"250",1124
"251",1137
"252",1142
"253",1166
"254",1180
"255",1181
"256",1196
"257",1212
"258",1213
"259",1214
"260",1219
"261",1220
"262",1222
"263",1237
"264",1245
"265",1249
"266",1250
"267",1260
"268",1261
"269",1262
"270",1285
"271",1295
"272",1303
"273",1310
"274",1311
"275",1316
"276",1325
"277",1331
"278",1332
"279",1334
"280",1339
"281",1340
"282",1346
"283",1350
"284",1358
"285",1359
"286",1363
"287",1366
"288",1370
"289",1386
"290",1387
"291",1388
"292",1392
"293",1393
"294",1399
"295",1412
"296",1415
"297",1423
"298",1425
"299",1427
"300",1436
"301",1448
"302",1466
"303",1471
"304",1476
"305",1490
"306",1492
"307",1496
"308",1500
"309",1527
"310",1541
"311",1568
"312",1576
"313",1579
"314",1586
"315",1587
"316",1592
"317",1601
"318",1627
"319",1640
"320",1645
"321",1653
"322",1661
"323",1662
"324",1666
"325",1670
"326",1672
"327",1679
"328",1680
"329",1681
"330",1700
"331",1703
"332",1707
"333",1715
"334",1728
"335",1751
"336",1767
"337",1783
"338",1785
"339",1790
"340",1791
"341",1803
"342",1807
"343",1817
"344",1849
"345",1855
"346",1859
"347",1872
"348",1876
"349",1879
"350",1902
"351",1914
"352",1918
"353",1942
"354",1946
"355",1963
"356",1967
"357",1969
"358",1975
"359",1976
"360",1984
