"","x"
"1",1
"2",2
"3",53
"4",56
"5",73
"6",88
"7",93
"8",97
"9",149
"10",150
"11",155
"12",160
"13",176
"14",177
"15",209
"16",244
"17",249
"18",251
"19",267
"20",277
"21",280
"22",290
"23",299
"24",300
"25",301
"26",314
"27",315
"28",322
"29",338
"30",340
"31",341
"32",354
"33",373
"34",378
"35",386
"36",390
"37",396
"38",408
"39",417
"40",419
"41",426
"42",434
"43",441
"44",443
"45",454
"46",458
"47",478
"48",492
"49",503
"50",525
"51",529
"52",530
"53",536
"54",542
"55",548
"56",549
"57",550
"58",567
"59",568
"60",571
"61",573
"62",581
"63",584
"64",585
"65",588
"66",589
"67",592
"68",597
"69",601
"70",610
"71",617
"72",623
"73",624
"74",640
"75",645
"76",653
"77",657
"78",660
"79",666
"80",667
"81",701
"82",719
"83",740
"84",745
"85",756
"86",762
"87",764
"88",767
"89",778
"90",782
"91",785
"92",794
"93",796
"94",806
"95",813
"96",814
"97",815
"98",836
"99",843
"100",859
"101",861
"102",877
"103",880
"104",896
"105",932
"106",937
"107",943
"108",968
"109",971
"110",976
"111",985
"112",991
"113",992
"114",996
"115",1011
"116",1015
"117",1026
"118",1028
"119",1043
"120",1048
"121",1058
"122",1062
"123",1069
"124",1075
"125",1087
"126",1094
"127",1104
"128",1112
"129",1114
"130",1124
"131",1137
"132",1142
"133",1166
"134",1180
"135",1181
"136",1196
"137",1212
"138",1213
"139",1214
"140",1219
"141",1220
"142",1222
"143",1237
"144",1245
"145",1249
"146",1250
"147",1260
"148",1261
"149",1262
"150",1285
"151",1295
"152",1303
"153",1310
"154",1311
"155",1316
"156",1325
"157",1331
"158",1332
"159",1334
"160",1339
"161",1340
"162",1346
"163",1350
"164",1358
"165",1359
"166",1363
"167",1366
"168",1370
"169",1386
"170",1387
"171",1388
"172",1392
"173",1393
"174",1399
"175",1412
"176",1415
"177",1423
"178",1425
"179",1427
"180",1436
"181",1448
"182",1466
"183",1471
"184",1476
"185",1490
"186",1492
"187",1496
"188",1500
"189",1527
"190",1541
"191",1568
"192",1576
"193",1579
"194",1586
"195",1587
"196",1592
"197",1601
"198",1627
"199",1640
"200",1645
"201",1653
"202",1661
"203",1662
"204",1666
"205",1670
"206",1672
"207",1679
"208",1680
"209",1681
"210",1700
"211",1703
"212",1707
"213",1715
"214",1728
"215",1751
"216",1767
"217",1783
"218",1785
"219",1790
"220",1791
"221",1803
"222",1807
"223",1817
"224",1849
"225",1855
"226",1859
"227",1872
"228",1876
"229",1879
"230",1902
"231",1914
"232",1918
"233",1942
"234",1946
"235",1963
"236",1967
"237",1969
"238",1975
"239",1976
"240",1984
